player,tee_time,model_fairways,alt_fairways,dg_fairway_pct,dk_line,over_odds,under_odds
Aberg, Ludvig,,10.31,9.81,0.804,9.5,-132,-108
Berger, Daniel,,10.08,9.37,0.714,,,
Bhatia, Akshay,,9.9,9.81,0.804,9.5,108,-156
Bradley, Keegan,,10.21,10.07,0.857,9.5,-134,-108
Bridgeman, Jacob,,9.57,9.55,0.75,9.5,110,-158
Burns, Sam,,9.67,9.64,0.768,9.5,128,-186
Campbell, Brian,,9.61,9.11,0.66,,,
Cantlay, Patrick,,9.94,9.9,0.821,9.5,-104,-140
Cauley, Bud,,9.54,9.02,0.643,9.5,-122,-118
Clark, Wyndham,,8.93,9.2,0.679,8.5,-184,128
Cole, Eric,,8.56,8.61,0.559,,,
Conners, Corey,,10.53,9.81,0.804,,,
Day, Jason,,9.25,8.32,0.5,,,
Echavarria, Nico,,10.04,9.72,0.786,,,
English, Harris,,10.13,9.72,0.786,9.5,-154,106
Finau, Tony,,9,8.62,0.561,,,
Fitzpatrick, Alex,,10.55,9.64,0.768,,,
Fitzpatrick, Matt,,10.21,9.02,0.643,9.5,-186,130
Fleetwood, Tommy,,10.93,9.72,0.786,10.5,100,-144
Fowler, Rickie,,9.81,9.72,0.786,,,
Fox, Ryan,,9.14,9.2,0.679,,,
Gerard, Ryan,,10.02,9.2,0.679,9.5,-150,104
Glover, Lucas,,10.74,9.26,0.691,,,
Gotterup, Chris,,8.69,9.02,0.643,8.5,-118,-122
Griffin, Ben,,9.74,9.64,0.768,9.5,-112,-128
Hall, Harry,,9.36,9.2,0.679,,,
Harman, Brian,,10.58,9.9,0.821,,,
Henley, Russell,,11.01,9.64,0.768,10.5,-172,120
Hisatsune, Ryo,,9.77,9.37,0.714,,,
Hoge, Tom,,9.35,8.8,0.597,,,
Hojgaard, Nicolai,,8.95,8.32,0.5,8.5,-140,-104
Hovland, Viktor,,10.04,9.37,0.714,9.5,-188,130
Hubbard, Mark,,9.58,8.95,0.628,,,
Im, Sungjae,,10.09,9.55,0.75,,,
James, Ben,,10.21,9.46,0.732,,,
Kim, Michael,,9.3,9.64,0.768,,,
Kim, Si Woo,,10.61,9.55,0.75,10.5,-126,-114
Kitayama, Kurt,,9.77,9.72,0.786,9.5,106,-152
Knapp, Jake,,8.79,8.15,0.464,,,
Lee, Min Woo,,9.7,9.55,0.75,9.5,102,-148
Lowry, Shane,,10.33,9.55,0.75,,,
MacIntyre, Robert,,9.84,9.2,0.679,9.5,-142,-102
Matsuyama, Hideki,,9.62,9.46,0.732,9.5,-104,-138
McCarthy, Denny,,9.04,8.8,0.597,,,
McCarty, Matt,,9.87,8.85,0.607,,,
McNealy, Maverick,,9.68,9.37,0.714,8.5,-178,124
Meissner, Mac,,9.19,8.78,0.593,,,
Mitchell, Keith,,9.62,9.64,0.768,,,
Morikawa, Collin,,11.28,9.72,0.786,10.5,-112,-130
Noren, Alex,,10.13,10.07,0.857,9.5,-186,130
Novak, Andrew,,9.54,9.9,0.821,,,
Pendrith, Taylor,,9.3,8.71,0.578,,,
Poston, J.T.,,10.28,9.98,0.839,9.5,-172,120
Rai, Aaron,,11.04,9.98,0.839,10.5,-168,116
Reitan, Kristoffer,,9.97,10.07,0.857,9.5,-106,-136
Rose, Justin,,9.74,9.46,0.732,9.5,-120,-120
Schauffele, Xander,,9.83,9.2,0.679,9.5,128,-186
Scheffler, Scottie,,10.9,9.81,0.804,10.5,126,-182
Scott, Adam,,9.41,9.55,0.75,,,
Smalley, Alex,,9.71,9.37,0.714,,,
Snedeker, Brandt,,9.85,9.09,0.656,,,
Spaun, J.J.,,9.85,9.37,0.714,10.5,118,-172
Spieth, Jordan,,9.58,9.37,0.714,,,
Stevens, Sam,,9.53,9.28,0.696,,,
Straka, Sepp,,10.49,9.9,0.821,9.5,-142,-102
Suber, Jackson,,9.54,9.37,0.714,,,
Taylor, Nick,,9.86,9.37,0.714,,,
Theegala, Sahith,,9.04,9.2,0.679,,,
Thomas, Justin,,9.17,9.28,0.696,9.5,120,-174
Vegas, Jhonattan,,9.11,8.66,0.568,,,
Woodland, Gary,,9.64,9.28,0.696,,,
Young, Cameron,,9.65,9.2,0.679,9.5,-105,-136
