section,exported_at,projections_updated_at,event_name,course_used,display_round,pricing_mode,pricing_skill,market,rmse,mae,n_line_pairs,ev_threshold_pct,bet_side,bets,wins,losses,pushes,units_net,roi_pct
model_vs_book,2026-08-06T01:06:22Z,,(all events),,,default,default,Round matchups,14.944,11.874,37534,,,,,,,,
model_vs_book_by_market,2026-08-06T01:06:22Z,,(all events),,(all),default,default,Round matchups,14.944,11.874,37534,,,,,,,,
model_vs_book,2026-08-06T01:06:22Z,,(all events),,,default,default,3-balls,10.585,8.309,32560,,,,,,,,
model_vs_book_by_market,2026-08-06T01:06:22Z,,(all events),,(all),default,default,3-balls,10.585,8.309,32560,,,,,,,,
model_vs_book,2026-08-06T01:06:22Z,,Cognizant Classic,,,default,default,Round matchups,11.586,9.014,145,,,,,,,,
model_vs_book,2026-08-06T01:06:22Z,,The American Express,,,default,default,Round matchups,13.689,10.793,1511,,,,,,,,
model_vs_book,2026-08-06T01:06:22Z,,WM Phoenix Open,,,default,default,Round matchups,13.305,10.364,394,,,,,,,,
model_vs_book,2026-08-06T01:06:22Z,,Farmers Insurance Open,,,default,default,Round matchups,12.935,9.963,340,,,,,,,,
model_vs_book,2026-08-06T01:06:22Z,,AT&T Pebble Beach Pro-Am,,,default,default,Round matchups,13.319,10.473,1216,,,,,,,,
model_vs_book,2026-08-06T01:06:22Z,,Sony Open in Hawaii,,,default,default,Round matchups,15.242,12.059,520,,,,,,,,
model_vs_book,2026-08-06T01:06:22Z,,The Genesis Invitational,,,default,default,Round matchups,14.233,11.082,755,,,,,,,,
model_vs_book,2026-08-06T01:06:22Z,,Cognizant Classic in The Palm Beaches,,,default,default,Round matchups,16.602,13.244,432,,,,,,,,
model_vs_book,2026-08-06T01:06:22Z,,The Open Championship,,,default,default,Round matchups,16.045,12.981,1438,,,,,,,,
model_vs_book,2026-08-06T01:06:22Z,,THE PLAYERS Championship,,,default,default,Round matchups,15.819,12.731,1163,,,,,,,,
model_vs_book,2026-08-06T01:06:22Z,,RBC Heritage,,,default,default,Round matchups,14.601,11.441,1756,,,,,,,,
model_vs_book,2026-08-06T01:06:22Z,,Wyndham Championship,,,default,default,Round matchups,15.684,12.723,561,,,,,,,,
model_vs_book,2026-08-06T01:06:22Z,,Masters Tournament,,,default,default,Round matchups,15.144,12.081,1269,,,,,,,,
model_vs_book,2026-08-06T01:06:22Z,,The Sentry,,,default,default,Round matchups,17.421,14.244,193,,,,,,,,
model_vs_book,2026-08-06T01:06:22Z,,THE CJ CUP Byron Nelson,,,default,default,Round matchups,14.566,11.520,458,,,,,,,,
model_vs_book,2026-08-06T01:06:22Z,,Texas Children's Houston Open,,,default,default,Round matchups,12.457,9.367,211,,,,,,,,
model_vs_book,2026-08-06T01:06:22Z,,Charles Schwab Challenge,,,default,default,Round matchups,14.345,11.380,812,,,,,,,,
model_vs_book,2026-08-06T01:06:22Z,,the Memorial Tournament presented by Workday,,,default,default,Round matchups,15.696,12.558,1507,,,,,,,,
model_vs_book,2026-08-06T01:06:22Z,,U.S. Open,,,default,default,Round matchups,14.880,11.746,1339,,,,,,,,
model_vs_book,2026-08-06T01:06:22Z,,FedEx St. Jude Championship,,,default,default,Round matchups,14.486,11.511,1218,,,,,,,,
model_vs_book,2026-08-06T01:06:22Z,,BMW Championship,,,default,default,Round matchups,14.007,11.124,1442,,,,,,,,
model_vs_book,2026-08-06T01:06:22Z,,John Deere Classic,,,default,default,Round matchups,15.251,11.866,594,,,,,,,,
model_vs_book,2026-08-06T01:06:22Z,,RBC Canadian Open,,,default,default,Round matchups,13.964,11.247,966,,,,,,,,
model_vs_book,2026-08-06T01:06:22Z,,PGA Championship,,,default,default,Round matchups,15.162,12.283,1503,,,,,,,,
model_vs_book,2026-08-06T01:06:22Z,,Travelers Championship,,,default,default,Round matchups,16.021,12.742,1714,,,,,,,,
model_vs_book,2026-08-06T01:06:22Z,,Valero Texas Open,,,default,default,Round matchups,15.314,12.001,338,,,,,,,,
model_vs_book,2026-08-06T01:06:22Z,,World Wide Technology Championship,,,default,default,Round matchups,15.039,12.308,199,,,,,,,,
model_vs_book,2026-08-06T01:06:22Z,,Procore Championship,,,default,default,Round matchups,16.809,13.088,479,,,,,,,,
model_vs_book,2026-08-06T01:06:22Z,,Barracuda Championship,,,default,default,Round matchups,6.593,5.740,24,,,,,,,,
model_vs_book,2026-08-06T01:06:22Z,,Valspar Championship,,,default,default,Round matchups,14.919,11.826,1067,,,,,,,,
model_vs_book,2026-08-06T01:06:22Z,,Hero World Challenge,,,default,default,Round matchups,16.212,12.874,576,,,,,,,,
model_vs_book,2026-08-06T01:06:22Z,,Truist Championship,,,default,default,Round matchups,13.851,10.812,653,,,,,,,,
model_vs_book,2026-08-06T01:06:22Z,,Puerto Rico Open,,,default,default,Round matchups,15.556,12.334,447,,,,,,,,
model_vs_book,2026-08-06T01:06:22Z,,The RSM Classic,,,default,default,Round matchups,15.330,11.999,277,,,,,,,,
model_vs_book,2026-08-06T01:06:22Z,,ISCO Championship,,,default,default,Round matchups,15.509,12.543,595,,,,,,,,
model_vs_book,2026-08-06T01:06:22Z,,Corales Puntacana Championship,,,default,default,Round matchups,13.646,10.815,550,,,,,,,,
model_vs_book,2026-08-06T01:06:22Z,,Baycurrent Classic,,,default,default,Round matchups,17.910,14.606,67,,,,,,,,
model_vs_book,2026-08-06T01:06:22Z,,Butterfield Bermuda Championship,,,default,default,Round matchups,13.337,10.705,267,,,,,,,,
model_vs_book,2026-08-06T01:06:22Z,,Sanderson Farms Championship,,,default,default,Round matchups,15.375,12.500,842,,,,,,,,
