generated_at,competition,event,year,sport_event,market_type,market_label,player,matched_player,round,side,line,actual,result,opening_american,closing_american,opening_implied,calibrated_prob,edge_pct,closing_implied,pnl_open,pnl_close,clv_pct,group_scores
2026-06-09T05:06:25.672Z,3M Open 2023,3M Open,2023,A. Baddeley/T. Finau - Round 4,GOLF:FT:2BL:AXB,2-Ball Matchup,T. Finau,T. Finau,4,pick,,70,L,-210,-171,0.630892,0.500000,-13.09,0.630892,-1.000,-1.000,-6.85,A. Baddeley:69; T. Finau:70
2026-06-09T05:06:25.672Z,3M Open 2023,3M Open,2023,G. Woodland/J. Thomas/J. Dahmen - Round 1,GOLF:FT:CTBIR,Birdies O/U,G. Woodland,Gary Woodland,1,over,4,2,L,-120,-106,0.513759,0.558405,4.46,0.513759,-1.000,-1.000,-5.66,
2026-06-09T05:06:25.672Z,3M Open 2023,3M Open,2023,G. Woodland/J. Thomas/J. Dahmen - Round 1,GOLF:FT:CTBIR,Birdies O/U,J. Dahmen,Joel Dahmen,1,over,3.5,3,L,-135,-121,0.548060,0.600515,5.25,0.548060,-1.000,-1.000,-4.69,
2026-06-09T05:06:25.672Z,3M Open 2023,3M Open,2023,G. Woodland/J. Thomas/J. Dahmen - Round 1,GOLF:FT:CTBIR,Birdies O/U,J. Thomas,Justin Thomas,1,over,4,3,L,-125,-111,0.527117,0.614973,8.79,0.527117,-1.000,-1.000,-5.31,
2026-06-09T05:06:25.672Z,3M Open 2023,3M Open,2023,G. Woodland/J. Thomas/J. Dahmen - Round 2,GOLF:FT:CTBIR,Birdies O/U,G. Woodland,Gary Woodland,2,under,5,4,W,105,118,0.459525,0.423398,-3.61,0.459525,1.050,1.180,-5.96,
2026-06-09T05:06:25.672Z,3M Open 2023,3M Open,2023,G. Woodland/J. Thomas/J. Dahmen - Round 2,GOLF:FT:CTBIR,Birdies O/U,J. Dahmen,Joel Dahmen,2,under,4.5,3,W,115,128,0.438879,0.466667,2.78,0.438879,1.150,1.280,-5.70,
2026-06-09T05:06:25.672Z,3M Open 2023,3M Open,2023,G. Woodland/J. Thomas/J. Dahmen - Round 2,GOLF:FT:CTBIR,Birdies O/U,J. Thomas,Justin Thomas,2,under,5.5,6,L,-135,-115,0.535763,0.614973,7.92,0.535763,-1.000,-1.000,-6.89,
2026-06-09T05:06:25.672Z,3M Open 2023,3M Open,2023,J.T. Poston/L. Hodges - Round 4,GOLF:FT:CTBIR,Birdies O/U,L. Hodges,Lee Hodges,4,over,5,5,P,-110,102,0.494388,0.584071,8.97,0.494388,0.000,0.000,-5.49,
2026-06-09T05:06:25.672Z,3M Open 2023,3M Open,2023,J.T. Poston/L. Hodges - Round 4,GOLF:FT:CTBIR,Birdies O/U,L. Hodges,Lee Hodges,4,under,5,5,P,-120,-102,0.505612,0.558405,5.28,0.505612,0.000,0.000,-7.43,
2026-06-09T05:06:25.672Z,3M Open 2023,3M Open,2023,K.H. Lee/S. Theegala/C. Young - Round 1,GOLF:FT:CTBIR,Birdies O/U,C. Young,Carson Young,1,over,4,4,P,-145,-129,0.563567,0.618421,5.49,0.563567,0.000,0.000,-4.82,
2026-06-09T05:06:25.672Z,3M Open 2023,3M Open,2023,K.H. Lee/S. Theegala/C. Young - Round 1,GOLF:FT:CTBIR,Birdies O/U,K.H. Lee,K.H. Lee,1,over,3.5,4,W,-145,-122,0.550318,0.597938,4.76,0.550318,0.690,0.820,-7.15,
2026-06-09T05:06:25.672Z,3M Open 2023,3M Open,2023,K.H. Lee/S. Theegala/C. Young - Round 1,GOLF:FT:CTBIR,Birdies O/U,S. Theegala,Sahith Theegala,1,over,4,3,L,100,111,0.473981,0.485246,1.13,0.473981,-1.000,-1.000,-5.21,
2026-06-09T05:06:25.672Z,3M Open 2023,3M Open,2023,K.H. Lee/S. Theegala/C. Young - Round 2,GOLF:FT:CTBIR,Birdies O/U,C. Young,Carson Young,2,under,5.5,5,W,-125,-108,0.520327,0.612299,9.20,0.520327,0.800,0.926,-6.54,
2026-06-09T05:06:25.672Z,3M Open 2023,3M Open,2023,K.H. Lee/S. Theegala/C. Young - Round 2,GOLF:FT:CTBIR,Birdies O/U,K.H. Lee,K.H. Lee,2,under,4.5,7,L,110,124,0.446596,0.426184,-2.04,0.446596,-1.000,-1.000,-6.25,
2026-06-09T05:06:25.672Z,3M Open 2023,3M Open,2023,K.H. Lee/S. Theegala/C. Young - Round 2,GOLF:FT:CTBIR,Birdies O/U,S. Theegala,Sahith Theegala,2,under,5,5,P,100,113,0.468876,0.485246,1.64,0.468876,0.000,0.000,-6.10,
2026-06-09T05:06:25.672Z,3M Open 2023,3M Open,2023,M. Hughes/S-J. Im/V. Norrman - Round 1,GOLF:FT:CTBIR,Birdies O/U,M. Hughes,Mackenzie Hughes,1,over,3.5,3,L,-135,-117,0.539012,0.614973,7.60,0.539012,-1.000,-1.000,-6.14,
2026-06-09T05:06:25.672Z,3M Open 2023,3M Open,2023,M. Hughes/S-J. Im/V. Norrman - Round 1,GOLF:FT:CTBIR,Birdies O/U,V. Norrman,Vincent Norrman,1,over,4,7,W,100,110,0.475635,0.481967,0.63,0.475635,1.000,1.100,-4.76,
2026-06-09T05:06:25.672Z,3M Open 2023,3M Open,2023,M. Hughes/S-J. Im/V. Norrman - Round 2,GOLF:FT:CTBIR,Birdies O/U,M. Hughes,Mackenzie Hughes,2,under,5,4,W,-145,-127,0.559285,0.597938,3.87,0.559285,0.690,0.787,-5.47,
2026-06-09T05:06:25.672Z,3M Open 2023,3M Open,2023,M. Hughes/S-J. Im/V. Norrman - Round 2,GOLF:FT:CTBIR,Birdies O/U,V. Norrman,Vincent Norrman,2,under,5,2,W,100,111,0.473807,0.481967,0.82,0.473807,1.000,1.110,-5.21,
2026-06-09T05:06:25.672Z,3M Open 2023,3M Open,2023,T. Finau/H. Matsuyama/S. Straka - Round 1,GOLF:FT:CTBIR,Birdies O/U,H. Matsuyama,Hideki Matsuyama,1,over,4,7,W,-110,101,0.497593,0.581121,8.35,0.497593,0.909,1.010,-5.02,
2026-06-09T05:06:25.672Z,3M Open 2023,3M Open,2023,T. Finau/H. Matsuyama/S. Straka - Round 1,GOLF:FT:CTBIR,Birdies O/U,S. Straka,Sepp Straka,1,over,4,4,P,105,118,0.458975,0.426184,-3.28,0.458975,0.000,0.000,-5.96,
2026-06-09T05:06:25.672Z,3M Open 2023,3M Open,2023,T. Finau/H. Matsuyama/S. Straka - Round 1,GOLF:FT:CTBIR,Birdies O/U,T. Finau,Tony Finau,1,over,4,6,W,-110,101,0.497593,0.581121,8.35,0.497593,0.909,1.010,-5.02,
2026-06-09T05:06:25.672Z,3M Open 2023,3M Open,2023,T. Finau/H. Matsuyama/S. Straka - Round 2,GOLF:FT:CTBIR,Birdies O/U,H. Matsuyama,Hideki Matsuyama,2,under,5.5,3,W,110,126,0.441951,0.423398,-1.86,0.441951,1.100,1.260,-7.08,
2026-06-09T05:06:25.672Z,3M Open 2023,3M Open,2023,T. Finau/H. Matsuyama/S. Straka - Round 2,GOLF:FT:CTBIR,Birdies O/U,S. Straka,Sepp Straka,2,under,5.5,5,W,-120,-106,0.513885,0.555556,4.17,0.513885,0.833,0.943,-5.66,
2026-06-09T05:06:25.672Z,3M Open 2023,3M Open,2023,T. Finau/H. Matsuyama/S. Straka - Round 2,GOLF:FT:CTBIR,Birdies O/U,T. Finau,Tony Finau,2,under,5.5,8,L,110,126,0.441951,0.426184,-1.58,0.441951,-1.000,-1.000,-7.08,
2026-06-09T05:06:25.672Z,AT&T Byron Nelson 2023,AT&T Byron Nelson,2023,A. Scott/M. Hughes/M. W. Lee - Round 2,GOLF:FT:CTSTR,Round Score O/U,A. Scott,Adam Scott,2,under,68.5,71,L,-105,109,0.478613,0.692308,21.37,0.478613,-1.000,-1.000,-6.58,
2026-06-09T05:06:25.672Z,AT&T Byron Nelson 2023,AT&T Byron Nelson,2023,A. Scott/M. Hughes/M. W. Lee - Round 2,GOLF:FT:CTBIR,Birdies O/U,M. W. Lee,K.H. Lee,2,under,4,6,L,-120,-102,0.505240,0.558405,5.32,0.505240,-1.000,-1.000,-7.43,
2026-06-09T05:06:25.672Z,AT&T Byron Nelson 2023,AT&T Byron Nelson,2023,T. Hatton/S. Scheffler/P. Kizzire - Round 4,GOLF:FT:CTBIR,Birdies O/U,S. Scheffler,Scottie Scheffler,4,over,4.5,6,W,-120,-103,0.508165,0.555556,4.74,0.508165,0.833,0.971,-6.98,
2026-06-09T05:06:25.672Z,AT&T Pebble Beach Pro-Am 2024,AT&T Pebble Beach Pro-Am,2024,P. Cantlay/E. Grillo/J. Thomas - Round 3,GOLF:FT:2BL:AXB,2-Ball Matchup,J. Thomas,J. Thomas,3,pick,,68,W,110,127,0.440291,0.450000,0.97,0.440291,1.100,1.270,-7.49,P. Cantlay:71; E. Grillo:71; J. Thomas:68
2026-06-09T05:06:25.672Z,AT&T Pebble Beach Pro-Am 2024,AT&T Pebble Beach Pro-Am,2024,P. Cantlay/E. Grillo/J. Thomas - Round 3,GOLF:FT:2BL:AXB,2-Ball Matchup,J. Thomas,J. Thomas,3,pick,,68,W,-135,-113,0.530645,0.520000,-1.06,0.530645,0.741,0.885,-7.65,P. Cantlay:71; E. Grillo:71; J. Thomas:68
2026-06-09T05:06:25.672Z,AT&T Pebble Beach Pro-Am 2024,AT&T Pebble Beach Pro-Am,2024,P. Cantlay/E. Grillo/J. Thomas - Round 3,GOLF:FT:2BL:AXB,2-Ball Matchup,P. Cantlay,P. Cantlay,3,pick,,71,L,-135,-113,0.530645,0.540000,0.94,0.530645,-1.000,-1.000,-7.65,P. Cantlay:71; E. Grillo:71; J. Thomas:68
2026-06-09T05:06:25.672Z,AT&T Pebble Beach Pro-Am 2024,AT&T Pebble Beach Pro-Am,2024,P. Cantlay/E. Grillo/J. Thomas - Round 3,GOLF:FT:CTBIR,Birdies O/U,E. Grillo,Emiliano Grillo,3,over,5,5,P,105,117,0.460173,0.485246,2.51,0.460173,0.000,0.000,-5.53,
2026-06-09T05:06:25.672Z,AT&T Pebble Beach Pro-Am 2024,AT&T Pebble Beach Pro-Am,2024,P. Cantlay/E. Grillo/J. Thomas - Round 3,GOLF:FT:CTBIR,Birdies O/U,E. Grillo,Emiliano Grillo,3,under,5,5,P,-135,-117,0.539827,0.614973,7.51,0.539827,0.000,0.000,-6.14,
2026-06-09T05:06:25.672Z,AT&T Pebble Beach Pro-Am 2024,AT&T Pebble Beach Pro-Am,2024,P. Cantlay/E. Grillo/J. Thomas - Round 3,GOLF:FT:CTBIR,Birdies O/U,J. Thomas,Justin Thomas,3,over,5.5,4,L,110,126,0.442539,0.426184,-1.64,0.442539,-1.000,-1.000,-7.08,
2026-06-09T05:06:25.672Z,AT&T Pebble Beach Pro-Am 2024,AT&T Pebble Beach Pro-Am,2024,P. Cantlay/E. Grillo/J. Thomas - Round 3,GOLF:FT:CTBIR,Birdies O/U,P. Cantlay,Patrick Cantlay,3,over,5.5,4,L,110,126,0.442539,0.426184,-1.64,0.442539,-1.000,-1.000,-7.08,
2026-06-09T05:06:25.672Z,AT&T Pebble Beach Pro-Am 2024,AT&T Pebble Beach Pro-Am,2024,R. Mcllroy/X. Schauffele/A. Schenk - Round 3,GOLF:FT:CTBIR,Birdies O/U,A. Schenk,Adam Schenk,3,under,4.5,9,L,110,122,0.451058,0.426184,-2.49,0.451058,-1.000,-1.000,-5.41,
2026-06-09T05:06:25.672Z,AT&T Pebble Beach Pro-Am 2024,AT&T Pebble Beach Pro-Am,2024,R. Mcllroy/X. Schauffele/A. Schenk - Round 3,GOLF:FT:CTBIR,Birdies O/U,X. Schauffele,Xander Schauffele,3,under,5.5,5,W,-145,-124,0.553179,0.597938,4.48,0.553179,0.690,0.806,-6.47,
2026-06-09T05:06:25.672Z,AT&T Pebble Beach Pro-Am 2024,AT&T Pebble Beach Pro-Am,2024,S. Scheffler/T. Detry/L. Aberg - Round 3,GOLF:FT:2BL:AXB,2-Ball Matchup,L. Aberg,L. Aberg,3,pick,,67,W,-135,-114,0.531802,0.520000,-1.18,0.531802,0.741,0.877,-7.27,S. Scheffler:70; T. Detry:69; L. Aberg:67
2026-06-09T05:06:25.672Z,AT&T Pebble Beach Pro-Am 2024,AT&T Pebble Beach Pro-Am,2024,S. Scheffler/T. Detry/L. Aberg - Round 3,GOLF:FT:2BL:AXB,2-Ball Matchup,S. Scheffler,S. Scheffler,3,pick,,70,L,-180,-154,0.605795,0.571429,-3.44,0.605795,-1.000,-1.000,-5.69,S. Scheffler:70; T. Detry:69; L. Aberg:67
2026-06-09T05:06:25.672Z,AT&T Pebble Beach Pro-Am 2024,AT&T Pebble Beach Pro-Am,2024,S. Scheffler/T. Detry/L. Aberg - Round 3,GOLF:FT:2BL:AXB,2-Ball Matchup,S. Scheffler,S. Scheffler,3,pick,,70,L,-125,-106,0.515604,0.465753,-4.99,0.515604,-1.000,-1.000,-7.38,S. Scheffler:70; T. Detry:69; L. Aberg:67
2026-06-09T05:06:25.672Z,AT&T Pebble Beach Pro-Am 2024,AT&T Pebble Beach Pro-Am,2024,S. Scheffler/T. Detry/L. Aberg - Round 3,GOLF:FT:CTBIR,Birdies O/U,L. Aberg,Ludvig Aberg,3,over,5,5,P,-135,-117,0.539910,0.614973,7.51,0.539910,0.000,0.000,-6.14,
2026-06-09T05:06:25.672Z,AT&T Pebble Beach Pro-Am 2024,AT&T Pebble Beach Pro-Am,2024,S. Scheffler/T. Detry/L. Aberg - Round 3,GOLF:FT:CTBIR,Birdies O/U,S. Scheffler,Scottie Scheffler,3,over,5.5,3,L,-110,103,0.493180,0.584071,9.09,0.493180,-1.000,-1.000,-5.96,
2026-06-09T05:06:25.672Z,AT&T Pebble Beach Pro-Am 2025,AT&T Pebble Beach Pro-Am,2025,J. Spieth/J. Thomas - Round 1,GOLF:FT:2BL:AXB,2-Ball Matchup,J. Spieth,J. Spieth,1,pick,,70,L,185,219,0.313872,0.272727,-4.11,0.313872,-1.000,-1.000,-10.66,J. Spieth:70; J. Thomas:66
2026-06-09T05:06:25.672Z,AT&T Pebble Beach Pro-Am 2025,AT&T Pebble Beach Pro-Am,2025,R. Fowler/V. Hovland - Round 1,GOLF:FT:2BL:AXB,2-Ball Matchup,V. Hovland,V. Hovland,1,pick,,65,W,-110,106,0.484487,0.555556,7.11,0.484487,0.909,1.060,-7.33,R. Fowler:68; V. Hovland:65
