section,generated_at,market,side,edge_threshold_pct,avg_opening_american,avg_closing_american,bets,wins,losses,pushes,units_net,roi_pct,hit_rate_pct,avg_edge_pct,avg_implied_pct,avg_clv_pct
edge_bucket,2026-06-09T05:06:25.672Z,__all__,__all__,0,-56,+4,4655,2411,2006,238,129.65,2.8,54.6,6.9,49.1,-7.0
edge_bucket,2026-06-09T05:06:25.672Z,__all__,__all__,2.5,-69,-7,3955,2120,1646,189,196.45,5.0,56.3,7.9,49.5,-7.1
edge_bucket,2026-06-09T05:06:25.672Z,__all__,__all__,5,-83,-8,2722,1447,1133,142,123.00,4.5,56.1,9.7,49.9,-7.4
edge_bucket,2026-06-09T05:06:25.672Z,__all__,__all__,7.5,-78,-5,1796,972,750,74,113.32,6.3,56.4,11.6,49.5,-7.2
edge_bucket,2026-06-09T05:06:25.672Z,__all__,__all__,10,-37,+32,772,416,327,29,78.20,10.1,56.0,15.3,47.0,-7.9
edge_bucket,2026-06-09T05:06:25.672Z,__all__,__all__,12.5,-40,+41,405,232,156,17,68.47,16.9,59.8,19.5,47.0,-7.8
edge_bucket,2026-06-09T05:06:25.672Z,__all__,__all__,15,-33,+53,336,176,143,17,31.12,9.3,55.2,20.5,46.8,-8.0
edge_bucket,2026-06-09T05:06:25.672Z,__all__,__all__,17.5,+37,+70,153,94,52,7,53.45,34.9,64.4,25.8,45.0,-9.0
edge_bucket,2026-06-09T05:06:25.672Z,__all__,__all__,20,+103,+136,92,39,46,7,20.50,22.3,45.9,30.5,39.5,-9.2
edge_bucket,2026-06-09T05:06:25.672Z,__all__,over,0,-87,-37,1667,799,778,90,-125.12,-7.5,50.7,5.9,50.9,-6.1
edge_bucket,2026-06-09T05:06:25.672Z,__all__,over,2.5,-98,-51,1449,718,652,79,-75.46,-5.2,52.4,6.6,51.4,-6.4
edge_bucket,2026-06-09T05:06:25.672Z,__all__,over,5,-123,-64,882,405,431,46,-116.79,-13.2,48.4,8.1,52.2,-6.5
edge_bucket,2026-06-09T05:06:25.672Z,__all__,over,7.5,-126,-52,577,272,277,28,-60.82,-10.5,49.5,9.4,52.1,-6.3
edge_bucket,2026-06-09T05:06:25.672Z,__all__,over,10,-113,-31,111,52,59,0,-17.17,-15.5,46.8,11.8,51.6,-7.8
edge_bucket,2026-06-09T05:06:25.672Z,__all__,over,12.5,+5,+22,16,4,12,0,-7.99,-49.9,25.0,19.2,48.0,-6.8
edge_bucket,2026-06-09T05:06:25.672Z,__all__,over,15,+21,+35,11,3,8,0,-4.90,-44.5,27.3,21.9,48.2,-6.1
edge_bucket,2026-06-09T05:06:25.672Z,__all__,over,17.5,+102,+115,7,3,4,0,-0.90,-12.9,42.9,25.4,46.6,-5.8
edge_bucket,2026-06-09T05:06:25.672Z,__all__,over,20,+101,+114,4,0,4,0,-4.00,-100.0,0.0,30.3,46.6,-6.1
edge_bucket,2026-06-09T05:06:25.672Z,__all__,pick,0,+13,+93,1373,647,641,85,38.89,2.8,50.2,9.0,45.2,-8.6
edge_bucket,2026-06-09T05:06:25.672Z,__all__,pick,2.5,+5,+96,1108,560,485,63,100.24,9.0,53.6,10.9,45.0,-8.6
edge_bucket,2026-06-09T05:06:25.672Z,__all__,pick,5,-4,+91,928,483,391,54,116.46,12.5,55.3,12.3,45.2,-8.5
edge_bucket,2026-06-09T05:06:25.672Z,__all__,pick,7.5,+13,+82,607,316,270,21,76.91,12.7,53.9,15.6,44.3,-8.3
edge_bucket,2026-06-09T05:06:25.672Z,__all__,pick,10,+1,+72,501,277,203,21,91.16,18.2,57.7,17.1,44.6,-8.3
edge_bucket,2026-06-09T05:06:25.672Z,__all__,pick,12.5,-49,+40,361,213,132,16,73.26,20.3,61.7,19.6,46.8,-8.0
edge_bucket,2026-06-09T05:06:25.672Z,__all__,pick,15,-43,+52,299,158,125,16,30.82,10.3,55.8,20.6,46.7,-8.3
edge_bucket,2026-06-09T05:06:25.672Z,__all__,pick,17.5,+23,+59,124,76,42,6,45.15,36.4,64.4,26.9,44.6,-9.8
edge_bucket,2026-06-09T05:06:25.672Z,__all__,pick,20,+105,+139,81,39,36,6,30.50,37.7,52.0,31.3,38.5,-9.6
edge_bucket,2026-06-09T05:06:25.672Z,__all__,under,0,-84,-29,1615,965,587,63,215.88,13.4,62.2,6.1,50.6,-6.5
edge_bucket,2026-06-09T05:06:25.672Z,__all__,under,2.5,-98,-44,1398,842,509,47,171.67,12.3,62.3,6.8,51.2,-6.7
edge_bucket,2026-06-09T05:06:25.672Z,__all__,under,5,-125,-57,912,559,311,42,123.33,13.5,64.3,8.4,52.4,-7.2
edge_bucket,2026-06-09T05:06:25.672Z,__all__,under,7.5,-123,-47,612,384,203,25,97.22,15.9,65.4,9.7,52.2,-6.9
edge_bucket,2026-06-09T05:06:25.672Z,__all__,under,10,-102,-52,160,87,65,8,4.21,2.6,57.2,12.2,51.5,-6.5
edge_bucket,2026-06-09T05:06:25.672Z,__all__,under,12.5,+44,+65,28,15,12,1,3.20,11.4,55.6,18.8,48.1,-5.9
edge_bucket,2026-06-09T05:06:25.672Z,__all__,under,15,+60,+80,26,15,10,1,5.20,20.0,60.0,19.2,47.4,-5.9
edge_bucket,2026-06-09T05:06:25.672Z,__all__,under,17.5,+92,+114,22,15,6,1,9.20,41.8,71.4,19.8,46.8,-5.7
edge_bucket,2026-06-09T05:06:25.672Z,__all__,under,20,+73,+114,7,0,6,1,-6.00,-85.7,0.0,22.5,46.7,-5.7
edge_bucket,2026-06-09T05:06:25.672Z,2-Ball Matchup,__all__,0,+26,+96,453,195,258,0,-49.43,-10.9,43.0,7.2,45.2,-8.6
edge_bucket,2026-06-09T05:06:25.672Z,2-Ball Matchup,__all__,2.5,+18,+100,314,169,145,0,36.02,11.5,53.8,10.0,44.9,-8.6
edge_bucket,2026-06-09T05:06:25.672Z,2-Ball Matchup,__all__,5,+22,+104,308,163,145,0,32.38,10.5,52.9,10.1,44.7,-8.6
edge_bucket,2026-06-09T05:06:25.672Z,2-Ball Matchup,__all__,7.5,+63,+110,181,64,117,0,-34.03,-18.8,35.4,12.5,42.7,-8.9
edge_bucket,2026-06-09T05:06:25.672Z,2-Ball Matchup,__all__,10,+73,+104,90,40,50,0,2.17,2.4,44.4,16.5,41.6,-9.3
edge_bucket,2026-06-09T05:06:25.672Z,2-Ball Matchup,__all__,12.5,+42,+76,53,20,33,0,-10.23,-19.3,37.7,20.5,43.5,-9.2
edge_bucket,2026-06-09T05:06:25.672Z,2-Ball Matchup,__all__,15,+18,+53,43,17,26,0,-8.03,-18.7,39.5,22.0,45.0,-9.0
edge_bucket,2026-06-09T05:06:25.672Z,2-Ball Matchup,__all__,17.5,+77,+118,20,4,16,0,-5.60,-28.0,20.0,28.8,40.5,-9.8
edge_bucket,2026-06-09T05:06:25.672Z,2-Ball Matchup,__all__,20,+41,+87,14,4,10,0,0.40,2.9,28.6,33.4,43.0,-9.6
edge_bucket,2026-06-09T05:06:25.672Z,2-Ball Matchup,pick,0,+26,+96,453,195,258,0,-49.43,-10.9,43.0,7.2,45.2,-8.6
edge_bucket,2026-06-09T05:06:25.672Z,2-Ball Matchup,pick,2.5,+18,+100,314,169,145,0,36.02,11.5,53.8,10.0,44.9,-8.6
edge_bucket,2026-06-09T05:06:25.672Z,2-Ball Matchup,pick,5,+22,+104,308,163,145,0,32.38,10.5,52.9,10.1,44.7,-8.6
edge_bucket,2026-06-09T05:06:25.672Z,2-Ball Matchup,pick,7.5,+63,+110,181,64,117,0,-34.03,-18.8,35.4,12.5,42.7,-8.9
edge_bucket,2026-06-09T05:06:25.672Z,2-Ball Matchup,pick,10,+73,+104,90,40,50,0,2.17,2.4,44.4,16.5,41.6,-9.3
edge_bucket,2026-06-09T05:06:25.672Z,2-Ball Matchup,pick,12.5,+42,+76,53,20,33,0,-10.23,-19.3,37.7,20.5,43.5,-9.2
edge_bucket,2026-06-09T05:06:25.672Z,2-Ball Matchup,pick,15,+18,+53,43,17,26,0,-8.03,-18.7,39.5,22.0,45.0,-9.0
edge_bucket,2026-06-09T05:06:25.672Z,2-Ball Matchup,pick,17.5,+77,+118,20,4,16,0,-5.60,-28.0,20.0,28.8,40.5,-9.8
edge_bucket,2026-06-09T05:06:25.672Z,2-Ball Matchup,pick,20,+41,+87,14,4,10,0,0.40,2.9,28.6,33.4,43.0,-9.6
edge_bucket,2026-06-09T05:06:25.672Z,Birdies O/U,__all__,0,-88,-30,2374,1244,978,152,49.80,2.1,56.0,5.6,50.9,-6.5
edge_bucket,2026-06-09T05:06:25.672Z,Birdies O/U,__all__,2.5,-102,-48,2014,1089,800,125,80.17,4.0,57.6,6.3,51.5,-6.6
edge_bucket,2026-06-09T05:06:25.672Z,Birdies O/U,__all__,5,-123,-48,1212,603,522,87,-42.37,-3.5,53.6,7.7,52.0,-6.7
edge_bucket,2026-06-09T05:06:25.672Z,Birdies O/U,__all__,7.5,-124,-29,785,428,305,52,45.64,5.8,58.4,8.9,51.5,-6.1
edge_bucket,2026-06-09T05:06:25.672Z,Birdies O/U,__all__,10,-115,+56,58,18,33,7,-16.03,-27.6,35.3,10.4,50.4,-7.0
edge_bucket,2026-06-09T05:06:25.672Z,Birdies O/U,__all__,12.5,-32,+2,4,0,4,0,-4.00,-100.0,0.0,12.7,49.8,-9.5
edge_bucket,2026-06-09T05:06:25.672Z,Birdies O/U,over,0,-84,-36,1388,649,649,90,-113.62,-8.2,50.0,5.5,50.8,-5.8
edge_bucket,2026-06-09T05:06:25.672Z,Birdies O/U,over,2.5,-96,-51,1191,585,527,79,-50.68,-4.3,52.6,6.2,51.3,-6.0
edge_bucket,2026-06-09T05:06:25.672Z,Birdies O/U,over,5,-121,-55,676,289,341,46,-111.17,-16.4,45.9,7.7,51.9,-6.0
edge_bucket,2026-06-09T05:06:25.672Z,Birdies O/U,over,7.5,-124,-37,433,201,204,28,-38.51,-8.9,49.6,8.9,51.6,-5.6
edge_bucket,2026-06-09T05:06:25.672Z,Birdies O/U,over,10,-110,+56,39,14,25,0,-11.67,-29.9,35.9,10.5,50.1,-6.2
edge_bucket,2026-06-09T05:06:25.672Z,Birdies O/U,over,12.5,+23,+57,3,0,3,0,-3.00,-100.0,0.0,12.7,45.6,-10.4
edge_bucket,2026-06-09T05:06:25.672Z,Birdies O/U,under,0,-94,-22,986,595,329,62,163.42,16.6,64.4,5.6,51.1,-7.5
edge_bucket,2026-06-09T05:06:25.672Z,Birdies O/U,under,2.5,-112,-44,823,504,273,46,130.85,15.9,64.9,6.5,51.8,-7.5
edge_bucket,2026-06-09T05:06:25.672Z,Birdies O/U,under,5,-125,-38,536,314,181,41,68.80,12.8,63.4,7.7,52.1,-7.5
edge_bucket,2026-06-09T05:06:25.672Z,Birdies O/U,under,7.5,-124,-18,352,227,101,24,84.15,23.9,69.2,8.8,51.4,-6.8
edge_bucket,2026-06-09T05:06:25.672Z,Birdies O/U,under,10,-126,+54,19,4,8,7,-4.36,-23.0,33.3,10.3,50.9,-9.4
edge_bucket,2026-06-09T05:06:25.672Z,Birdies O/U,under,12.5,-200,-165,1,0,1,0,-1.00,-100.0,0.0,12.7,62.3,-6.6
edge_bucket,2026-06-09T05:06:25.672Z,Round 1 2-Ball,__all__,0,+7,+91,920,452,383,85,88.32,9.6,54.1,9.9,45.2,-8.6
edge_bucket,2026-06-09T05:06:25.672Z,Round 1 2-Ball,__all__,2.5,,+94,794,391,340,63,64.22,8.1,53.5,11.2,45.1,-8.6
edge_bucket,2026-06-09T05:06:25.672Z,Round 1 2-Ball,__all__,5,-17,+85,620,320,246,54,84.08,13.6,56.5,13.4,45.4,-8.5
edge_bucket,2026-06-09T05:06:25.672Z,Round 1 2-Ball,__all__,7.5,-9,+69,426,252,153,21,110.94,26.0,62.2,17.0,45.0,-8.1
edge_bucket,2026-06-09T05:06:25.672Z,Round 1 2-Ball,__all__,10,-14,+66,411,237,153,21,88.99,21.7,60.8,17.2,45.3,-8.1
edge_bucket,2026-06-09T05:06:25.672Z,Round 1 2-Ball,__all__,12.5,-64,+34,308,193,99,16,83.49,27.1,66.1,19.4,47.4,-7.7
edge_bucket,2026-06-09T05:06:25.672Z,Round 1 2-Ball,__all__,15,-54,+51,256,141,99,16,38.85,15.2,58.8,20.4,46.9,-8.2
edge_bucket,2026-06-09T05:06:25.672Z,Round 1 2-Ball,__all__,17.5,+13,+48,104,72,26,6,50.75,48.8,73.5,26.5,45.4,-9.7
edge_bucket,2026-06-09T05:06:25.672Z,Round 1 2-Ball,__all__,20,+119,+150,67,35,26,6,30.10,44.9,57.4,30.8,37.6,-9.6
edge_bucket,2026-06-09T05:06:25.672Z,Round 1 2-Ball,pick,0,+7,+91,920,452,383,85,88.32,9.6,54.1,9.9,45.2,-8.6
edge_bucket,2026-06-09T05:06:25.672Z,Round 1 2-Ball,pick,2.5,,+94,794,391,340,63,64.22,8.1,53.5,11.2,45.1,-8.6
edge_bucket,2026-06-09T05:06:25.672Z,Round 1 2-Ball,pick,5,-17,+85,620,320,246,54,84.08,13.6,56.5,13.4,45.4,-8.5
edge_bucket,2026-06-09T05:06:25.672Z,Round 1 2-Ball,pick,7.5,-9,+69,426,252,153,21,110.94,26.0,62.2,17.0,45.0,-8.1
edge_bucket,2026-06-09T05:06:25.672Z,Round 1 2-Ball,pick,10,-14,+66,411,237,153,21,88.99,21.7,60.8,17.2,45.3,-8.1
edge_bucket,2026-06-09T05:06:25.672Z,Round 1 2-Ball,pick,12.5,-64,+34,308,193,99,16,83.49,27.1,66.1,19.4,47.4,-7.7
edge_bucket,2026-06-09T05:06:25.672Z,Round 1 2-Ball,pick,15,-54,+51,256,141,99,16,38.85,15.2,58.8,20.4,46.9,-8.2
edge_bucket,2026-06-09T05:06:25.672Z,Round 1 2-Ball,pick,17.5,+13,+48,104,72,26,6,50.75,48.8,73.5,26.5,45.4,-9.7
edge_bucket,2026-06-09T05:06:25.672Z,Round 1 2-Ball,pick,20,+119,+150,67,35,26,6,30.10,44.9,57.4,30.8,37.6,-9.6
edge_bucket,2026-06-09T05:06:25.672Z,Round 1 Score O/U,__all__,0,-82,-48,822,468,354,0,25.96,3.2,56.9,6.4,50.5,-6.0
edge_bucket,2026-06-09T05:06:25.672Z,Round 1 Score O/U,__all__,2.5,-93,-55,747,419,328,0,1.04,0.1,56.1,6.8,51.0,-6.4
edge_bucket,2026-06-09T05:06:25.672Z,Round 1 Score O/U,__all__,5,-141,-107,496,309,187,0,33.91,6.8,62.3,8.7,53.6,-7.3
edge_bucket,2026-06-09T05:06:25.672Z,Round 1 Score O/U,__all__,7.5,-145,-115,334,191,143,0,-11.46,-3.4,57.2,9.7,54.2,-7.8
edge_bucket,2026-06-09T05:06:25.672Z,Round 1 Score O/U,__all__,10,-141,-111,147,85,62,0,-1.20,-0.8,57.8,10.7,53.3,-7.6
edge_bucket,2026-06-09T05:06:25.672Z,Round 1 Score O/U,over,0,-108,-46,260,142,118,0,-8.16,-3.1,54.6,7.1,51.7,-8.0
edge_bucket,2026-06-09T05:06:25.672Z,Round 1 Score O/U,over,2.5,-118,-55,239,125,114,0,-21.44,-9.0,52.3,7.5,52.2,-8.1
edge_bucket,2026-06-09T05:06:25.672Z,Round 1 Score O/U,over,5,-141,-103,187,108,79,0,-2.28,-1.2,57.8,8.7,53.7,-8.1
edge_bucket,2026-06-09T05:06:25.672Z,Round 1 Score O/U,over,7.5,-145,-114,127,65,62,0,-17.10,-13.5,51.2,9.7,54.2,-8.3
edge_bucket,2026-06-09T05:06:25.672Z,Round 1 Score O/U,over,10,-141,-103,57,33,24,0,-0.34,-0.6,57.9,10.7,53.3,-9.4
edge_bucket,2026-06-09T05:06:25.672Z,Round 1 Score O/U,under,0,-70,-50,562,326,236,0,34.12,6.1,58.0,6.1,50.0,-5.0
edge_bucket,2026-06-09T05:06:25.672Z,Round 1 Score O/U,under,2.5,-82,-55,508,294,214,0,22.48,4.4,57.9,6.5,50.4,-5.6
edge_bucket,2026-06-09T05:06:25.672Z,Round 1 Score O/U,under,5,-140,-109,309,201,108,0,36.19,11.7,65.0,8.7,53.6,-6.9
edge_bucket,2026-06-09T05:06:25.672Z,Round 1 Score O/U,under,7.5,-145,-116,207,126,81,0,5.64,2.7,60.9,9.7,54.3,-7.4
edge_bucket,2026-06-09T05:06:25.672Z,Round 1 Score O/U,under,10,-140,-116,90,52,38,0,-0.86,-1.0,57.8,10.7,53.2,-6.4
edge_bucket,2026-06-09T05:06:25.672Z,Round Score O/U,__all__,0,-44,+37,86,52,33,1,14.99,17.4,61.2,14.2,48.9,-6.0
edge_bucket,2026-06-09T05:06:25.672Z,Round Score O/U,__all__,2.5,-44,+37,86,52,33,1,14.99,17.4,61.2,14.2,48.9,-6.0
edge_bucket,2026-06-09T05:06:25.672Z,Round Score O/U,__all__,5,-44,+37,86,52,33,1,14.99,17.4,61.2,14.2,48.9,-6.0
edge_bucket,2026-06-09T05:06:25.672Z,Round Score O/U,__all__,7.5,-29,+25,70,37,32,1,2.23,3.2,53.6,16.0,48.8,-6.0
edge_bucket,2026-06-09T05:06:25.672Z,Round Score O/U,__all__,10,-24,+20,66,36,29,1,4.28,6.5,55.4,16.4,48.8,-6.1
edge_bucket,2026-06-09T05:06:25.672Z,Round Score O/U,__all__,12.5,+36,+54,40,19,20,1,-0.79,-2.0,48.7,19.6,47.9,-5.9
edge_bucket,2026-06-09T05:06:25.672Z,Round Score O/U,__all__,15,+48,+67,37,18,18,1,0.30,0.8,50.0,20.0,47.6,-6.0
edge_bucket,2026-06-09T05:06:25.672Z,Round Score O/U,__all__,17.5,+95,+114,29,18,10,1,8.30,28.6,64.3,21.2,46.7,-5.7
edge_bucket,2026-06-09T05:06:25.672Z,Round Score O/U,__all__,20,+83,+114,11,0,10,1,-10.00,-90.9,0.0,25.3,46.7,-5.8
edge_bucket,2026-06-09T05:06:25.672Z,Round Score O/U,over,0,-34,+31,19,8,11,0,-3.34,-17.6,42.1,16.9,48.8,-5.8
edge_bucket,2026-06-09T05:06:25.672Z,Round Score O/U,over,2.5,-34,+31,19,8,11,0,-3.34,-17.6,42.1,16.9,48.8,-5.8
edge_bucket,2026-06-09T05:06:25.672Z,Round Score O/U,over,5,-34,+31,19,8,11,0,-3.34,-17.6,42.1,16.9,48.8,-5.8
edge_bucket,2026-06-09T05:06:25.672Z,Round Score O/U,over,7.5,-26,+23,17,6,11,0,-5.21,-30.6,35.3,18.1,48.8,-5.9
edge_bucket,2026-06-09T05:06:25.672Z,Round Score O/U,over,10,-15,+12,15,5,10,0,-5.16,-34.4,33.3,19.4,48.8,-6.0
