section,generated_at,market,price_source,bets,wins,losses,pushes,units_net,roi_pct,hit_rate_pct,avg_implied_pct,beat_true_price_pct,avg_clv_pct,pct_positive_clv
flat_roi,2026-06-09T05:06:25.672Z,2-Ball Matchup,opening,799,386,413,0,-29.37,-3.7,48.3,50.6,-2.3,-8.6,0.0
flat_roi,2026-06-09T05:06:25.672Z,Birdies O/U,opening,2843,1444,1225,174,1.61,0.1,54.1,53.9,0.2,-6.5,6.4
flat_roi,2026-06-09T05:06:25.672Z,Round Score O/U,opening,96,56,37,3,14.33,14.9,60.2,52.4,7.8,-5.8,0.0
flat_roi,2026-06-09T05:06:25.672Z,Round 1 Score O/U,opening,1164,608,556,0,-36.43,-3.1,52.2,53.5,-1.3,-5.7,10.8
flat_roi,2026-06-09T05:06:25.672Z,Round 1 2-Ball,opening,2023,870,1004,149,-164.38,-8.1,46.4,51.4,-5.0,-8.5,0.0
flat_roi,2026-06-09T05:06:25.672Z,2-Ball Matchup,closing,799,386,413,0,41.70,5.2,48.3,50.6,-2.3,-8.6,0.0
flat_roi,2026-06-09T05:06:25.672Z,Birdies O/U,closing,2843,1444,1225,174,187.97,6.6,54.1,53.9,0.2,-6.5,6.4
flat_roi,2026-06-09T05:06:25.672Z,Round Score O/U,closing,96,56,37,3,20.90,21.8,60.2,52.4,7.8,-5.8,0.0
flat_roi,2026-06-09T05:06:25.672Z,Round 1 Score O/U,closing,1164,608,556,0,29.40,2.5,52.2,53.5,-1.3,-5.7,10.8
flat_roi,2026-06-09T05:06:25.672Z,Round 1 2-Ball,closing,2023,870,1004,149,-1.62,-0.1,46.4,51.4,-5.0,-8.5,0.0
flat_roi_all,2026-06-09T05:06:25.672Z,__all__,opening,6925,3364,3235,326,-214.24,-3.1,51.0,52.7,-1.8,-7.2,4.5
flat_roi_all,2026-06-09T05:06:25.672Z,__all__,closing,6925,3364,3235,326,278.34,4.0,51.0,52.7,-1.8,-7.2,4.5
