generated_at,course_name,competition,event,year,round,player,matched_player,market,model_mu,line,model_line_edge,model_pick,actual,result,opening_american,closing_american,pnl_open,pnl_close
2026-06-30T22:06:39.772Z,TPC Twin Cities,3M Open 2023,3M Open,2023,1,J. Dahmen,Joel Dahmen,Birdies,4.352,3.5,0.852,over,3,L,-135,-121,-1.000,-1.000
2026-06-30T22:06:39.772Z,TPC Twin Cities,3M Open 2023,3M Open,2023,2,G. Woodland,Gary Woodland,Birdies,3.973,5,-1.027,under,4,W,105,118,1.050,1.180
2026-06-30T22:06:39.772Z,TPC Twin Cities,3M Open 2023,3M Open,2023,2,J. Dahmen,Joel Dahmen,Birdies,4.291,4.5,-0.209,under,3,W,115,128,1.150,1.280
2026-06-30T22:06:39.772Z,TPC Twin Cities,3M Open 2023,3M Open,2023,2,J. Thomas,Justin Thomas,Birdies,3.700,5.5,-1.800,under,6,L,-135,-115,-1.000,-1.000
2026-06-30T22:06:39.772Z,TPC Twin Cities,3M Open 2023,3M Open,2023,2,C. Young,Carson Young,Birdies,4.488,5.5,-1.012,under,5,W,-125,-108,0.800,0.926
2026-06-30T22:06:39.772Z,TPC Twin Cities,3M Open 2023,3M Open,2023,2,K.H. Lee,K.H. Lee,Birdies,3.304,4.5,-1.196,under,7,L,110,124,-1.000,-1.000
2026-06-30T22:06:39.772Z,TPC Twin Cities,3M Open 2023,3M Open,2023,1,V. Norrman,Vincent Norrman,Birdies,5.385,4,1.385,over,7,W,100,110,1.000,1.100
2026-06-30T22:06:39.772Z,TPC Twin Cities,3M Open 2023,3M Open,2023,2,M. Hughes,Mackenzie Hughes,Birdies,3.522,5,-1.478,under,4,W,-145,-127,0.690,0.787
2026-06-30T22:06:39.772Z,TPC Twin Cities,3M Open 2023,3M Open,2023,1,H. Matsuyama,Hideki Matsuyama,Birdies,4.055,4,0.055,over,7,W,-110,101,0.909,1.010
2026-06-30T22:06:39.772Z,TPC Twin Cities,3M Open 2023,3M Open,2023,2,H. Matsuyama,Hideki Matsuyama,Birdies,4.373,5.5,-1.127,under,3,W,110,126,1.100,1.260
2026-06-30T22:06:39.772Z,TPC Twin Cities,3M Open 2023,3M Open,2023,2,T. Finau,Tony Finau,Birdies,3.693,5.5,-1.807,under,8,L,110,126,-1.000,-1.000
2026-06-30T22:06:39.772Z,TPC Craig Ranch,AT&T Byron Nelson 2023,AT&T Byron Nelson,2023,2,A. Scott,Adam Scott,Total score,68.326,68.5,-0.174,under,71,L,-105,109,-1.000,-1.000
2026-06-30T22:06:39.772Z,TPC Craig Ranch,AT&T Byron Nelson 2023,AT&T Byron Nelson,2023,4,S. Scheffler,Scottie Scheffler,Birdies,7.556,4.5,3.056,over,6,W,-120,-103,0.833,0.971
2026-06-30T22:06:39.772Z,Pebble Beach Golf Links,AT&T Pebble Beach Pro-Am 2024,AT&T Pebble Beach Pro-Am,2024,3,A. Schenk,Adam Schenk,Birdies,3.861,4.5,-0.639,under,9,L,110,122,-1.000,-1.000
2026-06-30T22:06:39.772Z,Pebble Beach Golf Links,AT&T Pebble Beach Pro-Am 2024,AT&T Pebble Beach Pro-Am,2024,3,X. Schauffele,Xander Schauffele,Birdies,4.503,5.5,-0.997,under,5,W,-145,-124,0.690,0.806
2026-06-30T22:06:39.772Z,Pebble Beach Golf Links,AT&T Pebble Beach Pro-Am 2025,AT&T Pebble Beach Pro-Am,2025,1,R. Fowler,Rickie Fowler,Birdies,5.549,3.5,2.049,over,6,W,-145,-117,0.690,0.855
2026-06-30T22:06:39.772Z,Pebble Beach Golf Links,AT&T Pebble Beach Pro-Am 2025,AT&T Pebble Beach Pro-Am,2025,1,V. Hovland,Viktor Hovland,Birdies,5.664,3.5,2.164,over,8,W,-165,-135,0.606,0.741
2026-06-30T22:06:39.772Z,Pebble Beach Golf Links,AT&T Pebble Beach Pro-Am 2025,AT&T Pebble Beach Pro-Am,2025,1,T. Finau,Tony Finau,Birdies,5.656,3.5,2.156,over,7,W,-155,-129,0.645,0.775
2026-06-30T22:06:39.772Z,Arnold Palmer's Bay Hill Club & Lodge,Arnold Palmer Invitational 2024,Arnold Palmer Invitational,2024,2,J. Spieth,Jordan Spieth,Birdies,4.754,4.5,0.254,over,4,L,-125,-113,-1.000,-1.000
