generated_at,course_name,competition,event,year,round,player,matched_player,market,line,model_mu,model_line_edge,side,model_edge_pct,actual,result,opening_american,closing_american,pnl_open,pnl_close
2026-07-14T17:36:26.248Z,TPC Twin Cities,3M Open 2023,3M Open,2023,1,G. Woodland,Gary Woodland,Birdies,4,5.044,1.044,over,12.72,2,L,-120,-106,-1.000,-1.000
2026-07-14T17:36:26.248Z,TPC Twin Cities,3M Open 2023,3M Open,2023,1,J. Dahmen,Joel Dahmen,Birdies,3.5,4.419,0.919,over,8.85,3,L,-135,-121,-1.000,-1.000
2026-07-14T17:36:26.248Z,TPC Twin Cities,3M Open 2023,3M Open,2023,1,J. Thomas,Justin Thomas,Birdies,4,4.485,0.485,over,3.17,3,L,-125,-111,-1.000,-1.000
2026-07-14T17:36:26.248Z,TPC Twin Cities,3M Open 2023,3M Open,2023,2,G. Woodland,Gary Woodland,Birdies,5,5.098,0.098,under,-0.45,4,W,105,118,1.050,1.180
2026-07-14T17:36:26.248Z,TPC Twin Cities,3M Open 2023,3M Open,2023,2,J. Dahmen,Joel Dahmen,Birdies,4.5,4.479,-0.021,under,3.87,3,W,115,128,1.150,1.280
2026-07-14T17:36:26.248Z,TPC Twin Cities,3M Open 2023,3M Open,2023,2,J. Thomas,Justin Thomas,Birdies,5.5,4.543,-0.957,under,9.26,6,L,-135,-115,-1.000,-1.000
2026-07-14T17:36:26.248Z,TPC Twin Cities,3M Open 2023,3M Open,2023,1,K.H. Lee,K.H. Lee,Birdies,3.5,4.219,0.719,over,4.00,4,W,-145,-122,0.690,0.820
2026-07-14T17:36:26.248Z,TPC Twin Cities,3M Open 2023,3M Open,2023,1,S. Theegala,Sahith Theegala,Birdies,4,4.587,0.587,over,10.40,3,L,100,111,-1.000,-1.000
2026-07-14T17:36:26.248Z,TPC Twin Cities,3M Open 2023,3M Open,2023,2,C. Young,Carson Young,Birdies,5.5,5.190,-0.310,under,-0.35,5,W,-125,-108,0.800,0.926
2026-07-14T17:36:26.248Z,TPC Twin Cities,3M Open 2023,3M Open,2023,2,K.H. Lee,K.H. Lee,Birdies,4.5,4.288,-0.212,under,6.30,7,L,110,124,-1.000,-1.000
2026-07-14T17:36:26.248Z,TPC Twin Cities,3M Open 2023,3M Open,2023,1,M. Hughes,Mackenzie Hughes,Birdies,3.5,4.423,0.923,over,8.91,3,L,-135,-117,-1.000,-1.000
2026-07-14T17:36:26.248Z,TPC Twin Cities,3M Open 2023,3M Open,2023,1,V. Norrman,Vincent Norrman,Birdies,4,5.901,1.901,over,27.43,7,W,100,110,1.000,1.100
2026-07-14T17:36:26.248Z,TPC Twin Cities,3M Open 2023,3M Open,2023,2,M. Hughes,Mackenzie Hughes,Birdies,5,4.501,-0.499,under,-0.23,4,W,-145,-127,0.690,0.787
2026-07-14T17:36:26.248Z,TPC Twin Cities,3M Open 2023,3M Open,2023,2,V. Norrman,Vincent Norrman,Birdies,5,6.021,1.021,under,-15.56,2,W,100,111,1.000,1.110
2026-07-14T17:36:26.248Z,TPC Twin Cities,3M Open 2023,3M Open,2023,1,H. Matsuyama,Hideki Matsuyama,Birdies,4,5.449,1.449,over,20.10,7,W,-110,101,0.909,1.010
