generated_at,strategy,min_line_edge,min_edge_pct,market,bets,wins,losses,pushes,hit_rate_pct,units_open,units_close,roi_open_pct,roi_close_pct,proj_rmse,proj_mae
2026-06-23T21:51:09.475Z,line_any,0,,__all__,909,521,388,0,57.3,44.06,112.33,4.8,12.4,2.310,1.808
2026-06-23T21:51:09.475Z,line_any,0,,Birdies,688,403,285,0,58.6,53.25,105.67,7.7,15.4,1.929,1.553
2026-06-23T21:51:09.475Z,line_any,0,,Total score,221,118,103,0,53.4,-9.19,6.66,-4.2,3.0,3.221,2.600
2026-06-23T21:51:09.475Z,line_0.25,0.25,,__all__,745,430,315,0,57.7,37.62,93.04,5.1,12.5,2.377,1.855
2026-06-23T21:51:09.475Z,line_0.25,0.25,,Birdies,555,326,229,0,58.7,41.69,83.55,7.5,15.1,1.958,1.576
2026-06-23T21:51:09.475Z,line_0.25,0.25,,Total score,190,104,86,0,54.7,-4.06,9.50,-2.1,5.0,3.310,2.671
2026-06-23T21:51:09.475Z,line_0.5,0.5,,__all__,585,347,238,0,59.3,47.85,92.31,8.2,15.8,2.442,1.905
2026-06-23T21:51:09.475Z,line_0.5,0.5,,Birdies,417,252,165,0,60.4,45.54,77.55,10.9,18.6,1.972,1.586
2026-06-23T21:51:09.475Z,line_0.5,0.5,,Total score,168,95,73,0,56.5,2.30,14.76,1.4,8.8,3.333,2.697
2026-06-23T21:51:09.475Z,ev_0,0,0,__all__,713,402,311,0,56.4,39.57,91.45,5.6,12.8,2.358,1.842
2026-06-23T21:51:09.475Z,ev_0,0,0,Birdies,529,308,221,0,58.2,52.60,92.09,9.9,17.4,1.941,1.571
2026-06-23T21:51:09.475Z,ev_0,0,0,Total score,184,94,90,0,51.1,-13.03,-0.64,-7.1,-0.4,3.273,2.623
2026-06-23T21:51:09.475Z,ev_2.5,0,2.5,__all__,598,336,262,0,56.2,34.07,76.26,5.7,12.8,2.406,1.888
2026-06-23T21:51:09.475Z,ev_2.5,0,2.5,Birdies,431,250,181,0,58.0,44.09,75.32,10.2,17.5,1.975,1.599
2026-06-23T21:51:09.475Z,ev_2.5,0,2.5,Total score,167,86,81,0,51.5,-10.02,0.94,-6.0,0.6,3.264,2.633
2026-06-23T21:51:09.475Z,ev_5,0,5,__all__,500,283,217,0,56.6,35.03,70.51,7.0,14.1,2.448,1.924
2026-06-23T21:51:09.475Z,ev_5,0,5,Birdies,350,207,143,0,59.1,46.47,72.19,13.3,20.6,2.006,1.617
2026-06-23T21:51:09.475Z,ev_5,0,5,Total score,150,76,74,0,50.7,-11.44,-1.68,-7.6,-1.1,3.253,2.640
