exported_at,projections_updated_at,event_name,course_used,display_round,round,pricing_mode,pricing_skill,dg_id,player_name,actual_fairways,actual_round_score,actual_birdies,actual_pars,actual_bogeys,actual_gir,actual_source,book_odds_source,pp_book_odds_source,sl_book_odds_source,ud_book_odds_source,fd_book_odds_source,czr_book_odds_source,kl_book_odds_source,book_odds_open_at,book_odds_close_at,pp_book_odds_open_at,sl_book_odds_open_at,ud_book_odds_open_at,fd_book_odds_open_at,czr_book_odds_open_at,kl_book_odds_open_at,pp_book_odds_close_at,sl_book_odds_close_at,ud_book_odds_close_at,fd_book_odds_close_at,czr_book_odds_close_at,kl_book_odds_close_at,fairways_line,round_score_line,birdies_line,pars_line,bogeys_line,gir_line,fairways_book_line,round_score_book_line,birdies_book_line,pars_book_line,bogeys_book_line,gir_book_line,fairways_pp_line,round_score_pp_line,birdies_pp_line,pars_pp_line,bogeys_pp_line,gir_pp_line,fairways_sl_line,round_score_sl_line,birdies_sl_line,pars_sl_line,bogeys_sl_line,gir_sl_line,fairways_ud_line,round_score_ud_line,birdies_ud_line,pars_ud_line,bogeys_ud_line,gir_ud_line,fairways_fd_line,round_score_fd_line,birdies_fd_line,pars_fd_line,bogeys_fd_line,gir_fd_line,fairways_czr_line,round_score_czr_line,birdies_czr_line,pars_czr_line,bogeys_czr_line,gir_czr_line,fairways_kl_line,round_score_kl_line,birdies_kl_line,pars_kl_line,bogeys_kl_line,gir_kl_line,fairways_book_open_line,round_score_book_open_line,birdies_book_open_line,pars_book_open_line,bogeys_book_open_line,gir_book_open_line,fairways_pp_open_line,round_score_pp_open_line,birdies_pp_open_line,pars_pp_open_line,bogeys_pp_open_line,gir_pp_open_line,fairways_sl_open_line,round_score_sl_open_line,birdies_sl_open_line,pars_sl_open_line,bogeys_sl_open_line,gir_sl_open_line,fairways_ud_open_line,round_score_ud_open_line,birdies_ud_open_line,pars_ud_open_line,bogeys_ud_open_line,gir_ud_open_line,fairways_fd_open_line,round_score_fd_open_line,birdies_fd_open_line,pars_fd_open_line,bogeys_fd_open_line,gir_fd_open_line,fairways_czr_open_line,round_score_czr_open_line,birdies_czr_open_line,pars_czr_open_line,bogeys_czr_open_line,gir_czr_open_line,fairways_kl_open_line,round_score_kl_open_line,birdies_kl_open_line,pars_kl_open_line,bogeys_kl_open_line,gir_kl_open_line,fairways_over_odds,round_score_over_odds,birdies_over_odds,pars_over_odds,bogeys_over_odds,gir_over_odds,fairways_under_odds,round_score_under_odds,birdies_under_odds,pars_under_odds,bogeys_under_odds,gir_under_odds,fairways_pp_over_odds,round_score_pp_over_odds,birdies_pp_over_odds,pars_pp_over_odds,bogeys_pp_over_odds,gir_pp_over_odds,fairways_sl_over_odds,round_score_sl_over_odds,birdies_sl_over_odds,pars_sl_over_odds,bogeys_sl_over_odds,gir_sl_over_odds,fairways_ud_over_odds,round_score_ud_over_odds,birdies_ud_over_odds,pars_ud_over_odds,bogeys_ud_over_odds,gir_ud_over_odds,fairways_fd_over_odds,round_score_fd_over_odds,birdies_fd_over_odds,pars_fd_over_odds,bogeys_fd_over_odds,gir_fd_over_odds,fairways_czr_over_odds,round_score_czr_over_odds,birdies_czr_over_odds,pars_czr_over_odds,bogeys_czr_over_odds,gir_czr_over_odds,fairways_kl_over_odds,round_score_kl_over_odds,birdies_kl_over_odds,pars_kl_over_odds,bogeys_kl_over_odds,gir_kl_over_odds,fairways_pp_under_odds,round_score_pp_under_odds,birdies_pp_under_odds,pars_pp_under_odds,bogeys_pp_under_odds,gir_pp_under_odds,fairways_sl_under_odds,round_score_sl_under_odds,birdies_sl_under_odds,pars_sl_under_odds,bogeys_sl_under_odds,gir_sl_under_odds,fairways_ud_under_odds,round_score_ud_under_odds,birdies_ud_under_odds,pars_ud_under_odds,bogeys_ud_under_odds,gir_ud_under_odds,fairways_fd_under_odds,round_score_fd_under_odds,birdies_fd_under_odds,pars_fd_under_odds,bogeys_fd_under_odds,gir_fd_under_odds,fairways_czr_under_odds,round_score_czr_under_odds,birdies_czr_under_odds,pars_czr_under_odds,bogeys_czr_under_odds,gir_czr_under_odds,fairways_kl_under_odds,round_score_kl_under_odds,birdies_kl_under_odds,pars_kl_under_odds,bogeys_kl_under_odds,gir_kl_under_odds,fairways_open_over_odds,round_score_open_over_odds,birdies_open_over_odds,pars_open_over_odds,bogeys_open_over_odds,gir_open_over_odds,fairways_open_under_odds,round_score_open_under_odds,birdies_open_under_odds,pars_open_under_odds,bogeys_open_under_odds,gir_open_under_odds,fairways_pp_open_over_odds,round_score_pp_open_over_odds,birdies_pp_open_over_odds,pars_pp_open_over_odds,bogeys_pp_open_over_odds,gir_pp_open_over_odds,fairways_sl_open_over_odds,round_score_sl_open_over_odds,birdies_sl_open_over_odds,pars_sl_open_over_odds,bogeys_sl_open_over_odds,gir_sl_open_over_odds,fairways_ud_open_over_odds,round_score_ud_open_over_odds,birdies_ud_open_over_odds,pars_ud_open_over_odds,bogeys_ud_open_over_odds,gir_ud_open_over_odds,fairways_fd_open_over_odds,round_score_fd_open_over_odds,birdies_fd_open_over_odds,pars_fd_open_over_odds,bogeys_fd_open_over_odds,gir_fd_open_over_odds,fairways_czr_open_over_odds,round_score_czr_open_over_odds,birdies_czr_open_over_odds,pars_czr_open_over_odds,bogeys_czr_open_over_odds,gir_czr_open_over_odds,fairways_kl_open_over_odds,round_score_kl_open_over_odds,birdies_kl_open_over_odds,pars_kl_open_over_odds,bogeys_kl_open_over_odds,gir_kl_open_over_odds,fairways_pp_open_under_odds,round_score_pp_open_under_odds,birdies_pp_open_under_odds,pars_pp_open_under_odds,bogeys_pp_open_under_odds,gir_pp_open_under_odds,fairways_sl_open_under_odds,round_score_sl_open_under_odds,birdies_sl_open_under_odds,pars_sl_open_under_odds,bogeys_sl_open_under_odds,gir_sl_open_under_odds,fairways_ud_open_under_odds,round_score_ud_open_under_odds,birdies_ud_open_under_odds,pars_ud_open_under_odds,bogeys_ud_open_under_odds,gir_ud_open_under_odds,fairways_fd_open_under_odds,round_score_fd_open_under_odds,birdies_fd_open_under_odds,pars_fd_open_under_odds,bogeys_fd_open_under_odds,gir_fd_open_under_odds,fairways_czr_open_under_odds,round_score_czr_open_under_odds,birdies_czr_open_under_odds,pars_czr_open_under_odds,bogeys_czr_open_under_odds,gir_czr_open_under_odds,fairways_kl_open_under_odds,round_score_kl_open_under_odds,birdies_kl_open_under_odds,pars_kl_open_under_odds,bogeys_kl_open_under_odds,gir_kl_open_under_odds,fairways_over,round_score_over,birdies_over,pars_over,bogeys_over,gir_over,fairways_under,round_score_under,birdies_under,pars_under,bogeys_under,gir_under,weather_wind_mph,weather_temp_f,weather_condition,weather_difficulty,sg_ott,sg_app,prev_sg_ott,prev_sg_app,prev_sg_putt,tee_wave,pin_sheet_active,gir_minus_fw,course_fw_width,edge
2026-08-19T03:13:10Z,2026-05-15T03:18:23Z,PGA Championship,Aronimink Golf Club,2,2,default,default,17606,"Berger, Daniel",7,70.0,3,12,3,12,historical_rounds+player_history_shard,pre_round_audit,,,,,,,2026-05-15T03:18:40Z,2026-05-15T03:18:40Z,,,,,,,,,,,,,8,71.9,2.2,11.5,4.3,11.5,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-160,,,,,,+112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-160,,,,,,+112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,L,W,W,L,W,W,W,L,L,W,L,,,,,-0.041,-0.292,-0.454,0.353,-1.804,,0,5.006,39.7,
2026-08-19T03:13:10Z,2026-05-15T03:18:23Z,PGA Championship,Aronimink Golf Club,2,2,default,default,8825,"Harman, Brian",7,73.0,3,10,5,11,historical_rounds+player_history_shard,pre_round_audit,,,,,,,2026-05-15T03:18:40Z,2026-05-15T03:18:40Z,,,,,,,,,,,,,8,72.0,2.2,11.4,4.3,10.9,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-144,,,,,,+102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-144,,,,,,+102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,W,W,L,W,W,W,L,L,W,L,L,,,,,-0.739,0.759,-1.627,1.953,2.197,,0,3.998,39.7,
2026-08-19T03:13:10Z,2026-05-15T03:18:23Z,PGA Championship,Aronimink Golf Club,2,2,default,default,16394,"Jaeger, Stephan",9,70.0,0,18,0,16,historical_rounds+player_history_shard,pre_round_audit,,,,,,,2026-05-15T03:18:40Z,2026-05-15T03:18:40Z,,,,,,,,,,,,,8,71.9,2.3,11.1,4.5,11.1,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-138,,,,,,-102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-138,,,,,,-102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,L,L,W,L,W,L,W,W,L,W,L,,,,,1.254,1.126,0.714,-0.19,4.281,,0,7,39.7,
2026-08-19T03:13:10Z,2026-05-15T03:18:23Z,PGA Championship,Aronimink Golf Club,2,2,default,default,23841,"Neergaard-Petersen, Rasmus",10,72.0,2,12,4,13,historical_rounds+player_history_shard,pre_round_audit,,,,,,,2026-05-15T03:18:40Z,2026-05-15T03:18:40Z,,,,,,,,,,,,,8,72.2,2.1,11.5,4.7,11.1,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-146,,,,,,+104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-146,,,,,,+104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,L,L,W,L,W,L,W,W,L,W,L,,,,,0.856,0.322,1.452,-2.703,1.988,,0,3,39.7,
2026-08-19T03:13:10Z,2026-05-15T03:18:23Z,PGA Championship,Aronimink Golf Club,2,2,default,default,14502,"Cauley, Bud",7,72.0,3,10,5,11,historical_rounds+player_history_shard,pre_round_audit,,,,,,,2026-05-15T03:18:40Z,2026-05-15T03:18:40Z,,,,,,,,,,,,,8,71.9,2.1,11.6,4.3,11.1,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-136,,,,,,-104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-136,,,,,,-104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,W,W,L,W,L,W,L,L,W,L,W,,,,,0.321,0.151,-0.098,1.226,1.463,,0,3.998,39.7,
2026-08-19T03:13:10Z,2026-05-15T03:18:23Z,PGA Championship,Aronimink Golf Club,2,2,default,default,14796,"Hatton, Tyrrell",7,74.0,2,10,6,11,historical_rounds+player_history_shard,pre_round_audit,,,,,,,2026-05-15T03:18:40Z,2026-05-15T03:18:40Z,,,,,,,,,,,,,8,71.1,2.7,11.5,4.0,12.0,8.5,70.5,3.5,11.5,3.5,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,70.5,3.5,11.5,3.5,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+110,-126,+128,-105,-112,+122,-160,-106,-180,-134,-128,-166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+110,-126,+128,-105,-112,+122,-160,-106,-180,-134,-128,-166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,W,L,L,W,L,W,L,W,W,L,W,,,,,0.38,1.277,-0.202,1.4,-1.3,,0,3.998,39.7,
2026-08-19T03:13:10Z,2026-05-15T03:18:23Z,PGA Championship,Aronimink Golf Club,2,2,default,default,14636,"Spieth, Jordan",9,72.0,1,14,3,12,historical_rounds+player_history_shard,pre_round_audit,,,,,,,2026-05-15T03:18:40Z,2026-05-15T03:18:40Z,,,,,,,,,,,,,8,71.7,2.4,11.3,4.2,11.3,7.5,70.5,3.5,11.5,3.5,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,70.5,3.5,11.5,3.5,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-172,-124,+108,+118,-124,-158,+118,-110,-152,-168,-114,+115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-172,-124,+108,+118,-124,-158,+118,-110,-152,-168,-114,+115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,L,W,L,W,L,L,W,L,W,L,,,,,1.058,0.591,1.94,1.433,0.409,,0,3.004,39.7,
2026-08-19T03:13:10Z,2026-05-15T03:18:23Z,PGA Championship,Aronimink Golf Club,2,2,default,default,18841,"Hovland, Viktor",8,72.0,4,8,6,11,historical_rounds+player_history_shard,pre_round_audit,,,,,,,2026-05-15T03:18:40Z,2026-05-15T03:18:40Z,,,,,,,,,,,,,9,71.6,2.4,11.3,4.2,11.2,8.5,70.5,3.5,,,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,70.5,3.5,,,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-152,-120,-102,,,-170,+105,-112,-138,,,+125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-152,-120,-102,,,-170,+105,-112,-138,,,+125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,W,W,L,W,L,W,L,L,W,L,W,,,,,0.152,1.17,0.613,0.311,-2.444,,0,3.004,39.7,
2026-08-19T03:13:10Z,2026-05-15T03:18:23Z,PGA Championship,Aronimink Golf Club,2,2,default,default,23323,"MacIntyre, Robert",8,75.0,3,8,7,11,historical_rounds+player_history_shard,pre_round_audit,,,,,,,2026-05-15T03:18:40Z,2026-05-15T03:18:40Z,,,,,,,,,,,,,8,71.5,2.5,11.3,4.3,11.1,8.5,70.5,3.5,11.5,3.5,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,70.5,3.5,11.5,3.5,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-126,-115,+132,-124,+106,-162,-114,-116,-188,-114,-152,+118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-126,-115,+132,-124,+106,-162,-114,-116,-188,-114,-152,+118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,W,L,L,W,L,W,L,W,W,L,W,,,,,-0.222,-2.119,1.415,0.903,-0.374,,0,3.004,39.7,
2026-08-19T03:13:10Z,2026-05-15T03:18:23Z,PGA Championship,Aronimink Golf Club,2,2,default,default,9771,"Day, Jason",6,70.0,2,14,2,12,historical_rounds+player_history_shard,pre_round_audit,,,,,,,2026-05-15T03:18:40Z,2026-05-15T03:18:40Z,,,,,,,,,,,,,8,71.8,2.2,11.5,4.2,11.5,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-172,,,,,,+122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-172,,,,,,+122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,L,L,W,L,W,W,W,W,L,W,L,,,,,-0.43,1.223,0.552,2.728,-0.783,,0,6,39.7,
