dg_id,pga_player_id,tournament_id,tournament_name,year,round,sg_50_100_fw,n_50_100_fw,sg_100_150_fw,n_100_150_fw,sg_150_200_fw,n_150_200_fw,sg_over_200_fw,n_over_200_fw,sg_under_150_rgh,n_under_150_rgh,sg_over_150_rgh,n_over_150_rgh,sg_app_dist_total,n_app_dist
17538,39977,R2022464,"Fortinet Championship",2022,1,1.630,2,-0.392,4,-1.852,3,2.502,4,2.172,5,0.984,2,5.045,20
18634,46442,R2022464,"Fortinet Championship",2022,1,-1.555,3,-0.294,3,1.148,3,1.502,4,0.103,3,-0.508,1,0.397,17
19455,47529,R2022464,"Fortinet Championship",2022,1,1.445,3,0.902,1,-0.703,6,0.127,3,0.103,3,0.984,2,2.858,18
18580,46402,R2022464,"Fortinet Championship",2022,1,-0.555,3,-0.294,3,0.198,4,0.502,4,-0.862,4,0.984,2,-0.027,20
7649,26851,R2022464,"Fortinet Championship",2022,1,0.445,3,0.608,4,0.198,4,-0.249,2,0.103,3,0.460,5,1.566,21
26211,56676,R2022464,"Fortinet Championship",2022,1,,,2.510,5,0.247,5,0.751,2,-0.828,5,-2.524,3,0.157,20
13562,32839,R2022464,"Fortinet Championship",2022,1,1.445,3,-0.490,5,-0.753,5,0.878,5,0.034,1,,,1.115,19
15475,29908,R2022464,"Fortinet Championship",2022,1,0.445,3,0.706,3,-0.753,5,1.127,3,0.069,2,-1.524,3,0.070,19
16283,36699,R2022464,"Fortinet Championship",2022,1,1.815,1,-1.196,2,0.148,3,0.751,2,2.275,8,-1.524,3,2.270,19
12359,30692,R2022464,"Fortinet Championship",2022,1,,,1.315,7,1.247,5,0.502,4,0.034,1,0.492,1,3.591,18
18579,46435,R2022464,"Fortinet Championship",2022,1,0.815,1,0.412,6,-0.703,6,0.127,3,1.069,2,-0.016,2,1.704,20
14609,37455,R2022464,"Fortinet Championship",2022,1,-1.370,2,2.510,5,0.247,5,0.751,2,0.103,3,0.476,3,2.718,20
16382,36852,R2022464,"Fortinet Championship",2022,1,1.630,2,0.510,5,0.198,4,-0.249,2,-0.862,4,-1.524,3,-0.297,20
7899,25818,R2022464,"Fortinet Championship",2022,1,0.815,1,-0.392,4,-0.802,4,-0.249,2,2.138,4,0.968,4,2.478,19
19428,47483,R2022464,"Fortinet Championship",2022,1,0.260,4,-0.294,3,0.148,3,1.127,3,0.138,4,-0.016,2,1.363,19
11082,29268,R2022464,"Fortinet Championship",2022,1,0.630,2,0.804,2,1.198,4,-0.249,2,1.138,4,0.968,4,4.489,18
15470,35461,R2022464,"Fortinet Championship",2022,1,0.630,2,-3.196,2,0.247,5,0.751,2,0.207,6,0.984,2,-0.377,19
16333,36801,R2022464,"Fortinet Championship",2022,1,,,0.412,6,0.247,5,-1.498,4,0.069,2,0.968,4,0.199,21
10943,28775,R2022464,"Fortinet Championship",2022,1,,,0.021,10,1.198,4,1.751,2,0.034,1,-0.032,4,2.973,21
13367,32640,R2022464,"Fortinet Championship",2022,1,0.815,1,2.510,5,0.198,4,0.751,2,1.138,4,0.460,5,5.873,21
16602,37189,R2022464,"Fortinet Championship",2022,1,1.445,3,0.608,4,0.247,5,0.751,2,0.069,2,0.968,4,4.089,20
5768,12716,R2022464,"Fortinet Championship",2022,1,-0.185,1,0.706,3,0.247,5,-0.249,2,1.241,7,-1.524,3,0.237,21
15980,36326,R2022464,"Fortinet Championship",2022,1,0.630,2,-1.490,5,0.198,4,-1.498,4,0.138,4,-1.524,3,-3.545,22
14926,34466,R2022464,"Fortinet Championship",2022,1,-0.555,3,-0.196,2,0.198,4,-0.498,4,1.103,3,-0.524,3,-0.471,19
12425,30927,R2022464,"Fortinet Championship",2022,1,0.630,2,-0.881,9,-0.852,3,-0.249,2,0.034,1,0.476,3,-0.841,20
14013,33419,R2022464,"Fortinet Championship",2022,1,-0.185,1,-0.392,4,0.198,4,1.127,3,3.138,4,1.968,4,5.854,20
9883,28114,R2022464,"Fortinet Championship",2022,1,0.445,3,1.217,8,0.148,3,1.751,2,0.034,1,-3.032,4,0.564,21
13470,32757,R2022464,"Fortinet Championship",2022,1,-0.925,5,0.706,3,0.148,3,-1.873,3,2.138,4,-0.540,5,-0.345,23
7961,26476,R2022464,"Fortinet Championship",2022,1,-0.370,2,1.608,4,0.148,3,1.878,5,2.103,3,0.984,2,6.352,19
23604,51766,R2022464,"Fortinet Championship",2022,1,-0.370,2,1.608,4,1.198,4,-0.873,3,0.103,3,-0.524,3,1.142,19
14704,34256,R2022464,"Fortinet Championship",2022,1,-0.370,2,1.510,5,-2.802,4,0.376,1,1.172,5,-1.032,4,-1.146,21
23482,51890,R2022464,"Fortinet Championship",2022,1,-0.370,2,1.608,4,0.247,5,-0.873,3,0.069,2,2.476,3,3.157,19
11049,29221,R2022464,"Fortinet Championship",2022,1,-0.370,2,0.510,5,-0.753,5,-0.498,4,1.138,4,-0.508,1,-0.480,21
13127,32333,R2022464,"Fortinet Championship",2022,1,0.445,3,,,-1.802,4,-0.873,3,1.138,4,2.460,5,1.368,19
7955,27095,R2022464,"Fortinet Championship",2022,1,-1.555,3,0.217,8,0.148,3,0.376,1,,,-0.047,6,-0.862,21
6252,22371,R2022464,"Fortinet Championship",2022,1,-0.185,1,2.706,3,-0.753,5,-0.249,2,-0.828,5,-1.032,4,-0.340,20
19865,47988,R2022464,"Fortinet Championship",2022,1,-0.555,3,-0.588,6,1.148,3,-0.873,3,1.103,3,-0.016,2,0.220,20
15575,35532,R2022464,"Fortinet Championship",2022,1,,,-0.588,6,0.198,4,0.127,3,-0.862,4,-0.016,2,-1.141,19
6169,23108,R2022464,"Fortinet Championship",2022,1,,,-1.685,7,0.198,4,0.127,3,1.103,3,-0.016,2,-0.273,19
1547,01810,R2022464,"Fortinet Championship",2022,1,-0.185,1,0.412,6,-0.852,3,0.376,1,1.172,5,-0.540,5,0.384,21
17780,40250,R2022464,"Fortinet Championship",2022,1,-0.185,1,-2.392,4,0.198,4,-0.498,4,1.172,5,,,-1.704,18
16566,37212,R2022464,"Fortinet Championship",2022,1,-0.185,1,1.706,3,0.247,5,-0.746,6,0.207,6,-0.508,1,0.721,22
14698,34255,R2022464,"Fortinet Championship",2022,1,,,0.412,6,-1.852,3,-0.249,2,1.103,3,0.476,3,-0.108,17
7301,25686,R2022464,"Fortinet Championship",2022,1,1.890,6,0.608,4,-0.852,3,0.127,3,2.138,4,-1.016,2,2.895,22
12846,31557,R2022464,"Fortinet Championship",2022,1,-1.370,2,0.608,4,1.247,5,-0.249,2,0.069,2,-0.540,5,-0.234,20
11019,29518,R2022464,"Fortinet Championship",2022,1,-0.185,1,0.608,4,-1.802,4,0.127,3,2.172,5,-0.524,3,0.396,20
7881,27974,R2022464,"Fortinet Championship",2022,1,0.815,1,0.510,5,-1.852,3,0.376,1,1.138,4,-0.540,5,0.448,19
23014,51634,R2022464,"Fortinet Championship",2022,1,0.815,1,-0.881,9,0.148,3,-1.498,4,0.034,1,-0.508,1,-1.889,19
11357,29484,R2022464,"Fortinet Championship",2022,1,,,0.510,5,-0.802,4,0.127,3,2.172,5,-0.016,2,1.991,19
25002,54783,R2022464,"Fortinet Championship",2022,1,-0.185,1,-0.098,1,1.148,3,-0.873,3,2.310,9,-3.032,4,-0.730,21
8469,19803,R2022464,"Fortinet Championship",2022,1,-1.370,2,-0.588,6,0.148,3,-0.498,4,1.103,3,-0.016,2,-1.219,20
7305,24980,R2022464,"Fortinet Championship",2022,1,1.445,3,-1.294,3,0.297,6,1.376,1,1.103,3,-0.032,4,2.895,20
7960,27129,R2022464,"Fortinet Championship",2022,1,,,-1.490,5,-0.802,4,0.751,2,0.138,4,0.476,3,-0.927,18
16433,36871,R2022464,"Fortinet Championship",2022,1,-0.370,2,-0.294,3,-0.802,4,-0.498,4,-0.862,4,-0.016,2,-2.842,19
19477,47347,R2022464,"Fortinet Championship",2022,1,0.445,3,0.608,4,0.198,4,0.751,2,2.069,2,-0.540,5,3.532,20
17509,39953,R2022464,"Fortinet Championship",2022,1,-0.185,1,-0.490,5,0.198,4,-2.122,5,0.103,3,-0.524,3,-3.019,21
13997,40115,R2022464,"Fortinet Championship",2022,1,,,1.608,4,1.297,6,-1.498,4,-1.897,3,0.492,1,0.003,18
27996,58605,R2022464,"Fortinet Championship",2022,1,0.815,1,0.510,5,-1.852,3,-0.122,5,-1.793,6,-0.016,2,-2.458,22
13831,33122,R2022464,"Fortinet Championship",2022,1,0.630,2,-1.685,7,0.148,3,0.127,3,0.034,1,0.984,2,0.238,18
7626,24140,R2022464,"Fortinet Championship",2022,1,,,-1.392,4,0.247,5,0.502,4,1.172,5,0.492,1,1.022,19
16715,37275,R2022464,"Fortinet Championship",2022,1,-0.185,1,-0.294,3,-0.802,4,0.751,2,1.138,4,1.968,4,2.576,18
22050,50493,R2022464,"Fortinet Championship",2022,1,-0.185,1,1.510,5,0.247,5,-1.498,4,0.138,4,-0.524,3,-0.311,22
6930,23325,R2022464,"Fortinet Championship",2022,1,-0.185,1,-0.685,7,1.198,4,0.127,3,-0.931,2,1.476,3,0.999,20
5874,22056,R2022464,"Fortinet Championship",2022,1,0.630,2,-0.294,3,-1.802,4,0.376,1,1.207,6,-0.047,6,0.069,22
13126,25493,R2022464,"Fortinet Championship",2022,1,1.630,2,-0.685,7,0.148,3,0.502,4,0.069,2,-1.016,2,0.648,20
13404,32662,R2022464,"Fortinet Championship",2022,1,-0.185,1,-0.392,4,0.198,4,0.502,4,-0.862,4,0.476,3,-0.263,20
15330,35310,R2022464,"Fortinet Championship",2022,1,-1.370,2,1.608,4,0.247,5,-3.498,4,-0.897,3,-1.524,3,-5.433,21
22985,50095,R2022464,"Fortinet Championship",2022,1,-0.740,4,0.706,3,0.148,3,0.127,3,-0.862,4,-0.016,2,-0.637,19
10873,27139,R2022464,"Fortinet Championship",2022,1,0.630,2,-1.685,7,0.198,4,-0.249,2,,,0.968,4,-0.138,19
12946,32150,R2022464,"Fortinet Championship",2022,1,,,1.119,9,-1.802,4,-0.498,4,0.034,1,-2.016,2,-3.163,20
18187,45609,R2022464,"Fortinet Championship",2022,1,-0.185,1,-0.588,6,-1.802,4,-0.498,4,0.138,4,-1.016,2,-3.950,21
11374,32448,R2022464,"Fortinet Championship",2022,1,-0.370,2,-0.685,7,-0.852,3,0.751,2,-3.862,4,-2.524,3,-7.542,21
7959,27141,R2022464,"Fortinet Championship",2022,1,-0.370,2,-0.392,4,0.148,3,0.376,1,-0.828,5,-0.032,4,-1.097,19
6892,21961,R2022464,"Fortinet Championship",2022,1,0.815,1,1.412,6,-0.753,5,0.376,1,0.103,3,-0.540,5,1.414,21
15473,35449,R2022464,"Fortinet Championship",2022,1,-0.555,3,-0.588,6,-0.852,3,1.127,3,1.069,2,0.476,3,0.678,20
18761,46601,R2022464,"Fortinet Championship",2022,1,-0.740,4,-0.196,2,-3.802,4,0.502,4,-0.828,5,-0.016,2,-5.079,21
18554,46414,R2022464,"Fortinet Championship",2022,1,-0.185,1,-0.392,4,1.297,6,0.127,3,0.138,4,-1.016,2,-0.031,20
19840,47983,R2022464,"Fortinet Championship",2022,1,-0.370,2,0.608,4,0.247,5,-0.122,5,-1.828,5,0.984,2,-0.480,23
24481,53165,R2022464,"Fortinet Championship",2022,1,0.815,1,-0.490,5,-0.802,4,0.502,4,0.138,4,-1.016,2,-0.853,20
19872,47995,R2022464,"Fortinet Championship",2022,1,1.260,4,-5.685,7,0.148,3,0.502,4,1.103,3,-1.016,2,-3.687,23
8820,27649,R2022464,"Fortinet Championship",2022,1,,,2.510,5,-0.852,3,-3.122,5,3.207,6,-0.016,2,1.727,21
17536,39324,R2022464,"Fortinet Championship",2022,1,,,-0.588,6,0.198,4,-1.498,4,2.172,5,-0.508,1,-0.223,20
12069,30110,R2022464,"Fortinet Championship",2022,1,-1.370,2,-0.490,5,0.198,4,0.127,3,1.103,3,-1.016,2,-1.448,19
19395,10381,R2022464,"Fortinet Championship",2022,1,-1.370,2,2.608,4,-0.802,4,0.751,2,0.138,4,-2.032,4,-0.707,20
15634,35617,R2022464,"Fortinet Championship",2022,1,-0.555,3,,,-0.852,3,0.751,2,1.207,6,-0.032,4,0.520,18
6457,23623,R2022464,"Fortinet Championship",2022,1,0.445,3,-0.392,4,-2.802,4,-2.498,4,1.069,2,-1.524,3,-5.701,20
12920,32139,R2022464,"Fortinet Championship",2022,1,0.445,3,-0.392,4,0.198,4,0.751,2,0.138,4,-0.524,3,0.616,20
11330,29479,R2022464,"Fortinet Championship",2022,1,-0.185,1,0.510,5,-1.852,3,1.502,4,0.069,2,0.968,4,1.013,19
7900,24924,R2022464,"Fortinet Championship",2022,1,0.630,2,-0.490,5,0.198,4,-0.249,2,2.103,3,-0.032,4,2.161,20
13965,33399,R2022464,"Fortinet Championship",2022,1,,,1.608,4,-0.802,4,1.127,3,2.172,5,0.476,3,4.581,19
17064,39058,R2022464,"Fortinet Championship",2022,1,1.445,3,-0.098,1,-2.802,4,-0.249,2,2.207,6,-0.032,4,0.471,20
14140,33597,R2022464,"Fortinet Championship",2022,1,-0.185,1,-0.490,5,0.148,3,0.127,3,1.172,5,-0.524,3,0.249,20
14081,33490,R2022464,"Fortinet Championship",2022,1,0.630,2,-1.294,3,0.148,3,-0.873,3,1.207,6,-2.032,4,-2.214,21
21943,49766,R2022464,"Fortinet Championship",2022,1,-0.185,1,-1.490,5,0.198,4,-0.873,3,0.172,5,0.476,3,-1.702,21
12477,31202,R2022464,"Fortinet Championship",2022,1,0.630,2,-0.392,4,-0.852,3,1.127,3,1.172,5,-1.540,5,0.146,22
7489,26596,R2022464,"Fortinet Championship",2022,1,,,-0.588,6,-0.802,4,-2.122,5,-0.897,3,,,-4.409,18
28571,58849,R2022464,"Fortinet Championship",2022,1,0.630,2,0.510,5,0.148,3,-0.873,3,0.103,3,-0.524,3,-0.005,19
19195,46970,R2022464,"Fortinet Championship",2022,1,-0.185,1,-1.294,3,0.198,4,0.127,3,0.103,3,-0.032,4,-1.083,18
14050,33486,R2022464,"Fortinet Championship",2022,1,-0.110,6,-0.588,6,1.148,3,0.127,3,,,-1.540,5,-0.962,23
