dg_id,pga_player_id,tournament_id,tournament_name,year,round,sg_putt_0_5ft,n_putt_0_5ft,sg_putt_5_10ft,n_putt_5_10ft,sg_putt_10_15ft,n_putt_10_15ft,sg_putt_15_25ft,n_putt_15_25ft,sg_putt_25plus_ft,n_putt_25plus_ft,sg_putt_dist_total,n_putt_dist
17538,39977,R2022464,"Fortinet Championship",2022,1,0.374,12,-0.710,3,2.478,5,-0.296,2,1.169,5,3.014,27
18634,46442,R2022464,"Fortinet Championship",2022,1,0.498,16,0.290,3,-0.609,2,-0.592,4,0.169,5,-0.244,30
19455,47529,R2022464,"Fortinet Championship",2022,1,0.436,14,0.150,5,-0.304,1,-0.296,2,0.202,6,0.188,28
18580,46402,R2022464,"Fortinet Championship",2022,1,0.436,14,-0.850,5,-0.609,2,0.556,3,-0.831,5,-1.299,29
7649,26851,R2022464,"Fortinet Championship",2022,1,0.467,15,0.430,1,-0.218,4,0.408,4,0.101,3,1.189,27
26211,56676,R2022464,"Fortinet Championship",2022,1,-0.564,14,0.720,4,-0.609,2,-0.592,4,0.135,4,-0.910,28
13562,32839,R2022464,"Fortinet Championship",2022,1,0.436,14,-1.850,5,0.478,5,0.408,4,-0.831,5,-1.360,33
15475,29908,R2022464,"Fortinet Championship",2022,1,0.405,13,1.150,5,-0.218,4,-0.740,5,0.067,2,0.664,29
16283,36699,R2022464,"Fortinet Championship",2022,1,0.498,16,-0.570,1,-0.609,2,-0.444,3,1.236,7,0.112,29
12359,30692,R2022464,"Fortinet Championship",2022,1,-0.595,13,0.150,5,0.696,1,1.704,2,-0.865,4,1.089,25
18579,46435,R2022464,"Fortinet Championship",2022,1,0.498,16,,,0.087,3,0.852,1,0.169,5,1.606,25
14609,37455,R2022464,"Fortinet Championship",2022,1,0.467,15,-1.280,4,,,0.408,4,0.101,3,-0.304,26
16382,36852,R2022464,"Fortinet Championship",2022,1,-0.564,14,-0.710,3,0.478,5,1.556,3,0.101,3,0.861,28
7899,25818,R2022464,"Fortinet Championship",2022,1,0.374,12,1.009,7,-0.218,4,-0.148,1,0.101,3,1.119,27
19428,47483,R2022464,"Fortinet Championship",2022,1,0.436,14,1.290,3,-0.609,2,0.556,3,0.169,5,1.842,27
11082,29268,R2022464,"Fortinet Championship",2022,1,-1.533,15,1.720,4,0.391,2,-0.740,5,0.067,2,-0.095,28
15470,35461,R2022464,"Fortinet Championship",2022,1,0.436,14,0.860,2,-0.218,4,-0.296,2,1.202,6,1.985,28
16333,36801,R2022464,"Fortinet Championship",2022,1,-0.564,14,1.720,4,,,-0.592,4,1.169,5,1.732,27
10943,28775,R2022464,"Fortinet Championship",2022,1,-0.657,11,1.579,6,0.087,3,0.408,4,0.067,2,1.484,26
13367,32640,R2022464,"Fortinet Championship",2022,1,0.343,11,1.720,4,1.174,6,-0.296,2,0.034,1,2.974,24
16602,37189,R2022464,"Fortinet Championship",2022,1,0.374,12,1.290,3,-0.218,4,0.408,4,0.034,1,1.887,24
5768,12716,R2022464,"Fortinet Championship",2022,1,0.467,15,-0.140,2,0.174,6,-0.296,2,0.169,5,0.373,30
15980,36326,R2022464,"Fortinet Championship",2022,1,0.530,17,-1.710,3,-0.913,3,0.408,4,0.169,5,-1.517,32
14926,34466,R2022464,"Fortinet Championship",2022,1,0.530,17,-0.140,2,-0.609,2,-0.296,2,0.270,8,-0.246,31
12425,30927,R2022464,"Fortinet Championship",2022,1,0.374,12,0.439,8,-0.913,3,-0.296,2,1.169,5,0.773,30
14013,33419,R2022464,"Fortinet Championship",2022,1,0.436,14,-0.710,3,0.391,2,0.704,2,1.135,4,1.956,25
9883,28114,R2022464,"Fortinet Championship",2022,1,0.343,11,1.720,4,0.087,3,-0.592,4,1.236,7,2.793,29
13470,32757,R2022464,"Fortinet Championship",2022,1,0.467,15,0.720,4,,,-0.740,5,0.101,3,0.548,27
7961,26476,R2022464,"Fortinet Championship",2022,1,0.374,12,1.150,5,0.391,2,0.556,3,0.067,2,2.538,24
23604,51766,R2022464,"Fortinet Championship",2022,1,-0.626,12,1.150,5,0.087,3,0.408,4,1.135,4,2.153,28
14704,34256,R2022464,"Fortinet Championship",2022,1,0.405,13,1.579,6,-0.609,2,-0.740,5,0.067,2,0.703,28
23482,51890,R2022464,"Fortinet Championship",2022,1,-0.470,17,-0.140,2,-0.304,1,0.260,5,0.101,3,-0.554,28
11049,29221,R2022464,"Fortinet Championship",2022,1,0.405,13,1.290,3,-0.522,5,-0.296,2,0.101,3,0.978,26
13127,32333,R2022464,"Fortinet Championship",2022,1,0.405,13,-1.280,4,0.478,5,0.704,2,1.101,3,1.408,27
7955,27095,R2022464,"Fortinet Championship",2022,1,-0.502,16,0.860,2,0.391,2,-1.185,8,-0.899,3,-1.334,31
6252,22371,R2022464,"Fortinet Championship",2022,1,0.436,14,-1.991,7,0.391,2,-0.296,2,1.067,2,-0.392,27
19865,47988,R2022464,"Fortinet Championship",2022,1,0.467,15,0.290,3,-0.609,2,-0.333,9,0.067,2,-0.117,31
15575,35532,R2022464,"Fortinet Championship",2022,1,-0.533,15,-0.421,6,0.696,1,-0.444,3,0.135,4,-0.567,29
6169,23108,R2022464,"Fortinet Championship",2022,1,0.436,14,-0.280,4,0.087,3,,,0.270,8,0.513,29
1547,01810,R2022464,"Fortinet Championship",2022,1,0.405,13,0.150,5,,,1.111,6,-0.831,5,0.835,29
17780,40250,R2022464,"Fortinet Championship",2022,1,0.498,16,0.290,3,-0.913,3,-0.444,3,0.135,4,-0.434,29
16566,37212,R2022464,"Fortinet Championship",2022,1,0.405,13,0.720,4,,,0.260,5,0.067,2,1.452,24
14698,34255,R2022464,"Fortinet Championship",2022,1,0.405,13,1.150,5,-0.826,6,-0.444,3,-0.899,3,-0.615,30
7301,25686,R2022464,"Fortinet Championship",2022,1,0.343,11,0.860,2,0.478,5,1.556,3,1.202,6,4.439,27
12846,31557,R2022464,"Fortinet Championship",2022,1,0.374,12,1.150,5,0.696,1,0.111,6,0.135,4,2.465,28
11019,29518,R2022464,"Fortinet Championship",2022,1,-0.533,15,0.290,3,-0.609,2,-0.740,5,1.169,5,-0.423,30
7881,27974,R2022464,"Fortinet Championship",2022,1,-2.470,17,-0.140,2,-0.913,3,0.408,4,1.135,4,-1.981,30
23014,51634,R2022464,"Fortinet Championship",2022,1,-0.470,17,-0.570,1,-0.304,1,-0.592,4,0.202,6,-1.735,29
11357,29484,R2022464,"Fortinet Championship",2022,1,0.530,17,,,-0.609,2,-0.740,5,0.169,5,-0.651,29
25002,54783,R2022464,"Fortinet Championship",2022,1,0.467,15,-0.140,2,-1.522,5,-0.296,2,1.135,4,-0.356,28
8469,19803,R2022464,"Fortinet Championship",2022,1,-0.533,15,1.290,3,0.391,2,-0.296,2,-0.798,6,0.055,28
7305,24980,R2022464,"Fortinet Championship",2022,1,0.436,14,-1.280,4,,,1.111,6,-0.831,5,-0.564,29
7960,27129,R2022464,"Fortinet Championship",2022,1,0.467,15,-1.140,2,0.565,8,-0.296,2,-0.831,5,-1.235,32
16433,36871,R2022464,"Fortinet Championship",2022,1,0.561,18,-1.710,3,-0.609,2,-0.740,5,0.135,4,-2.364,32
19477,47347,R2022464,"Fortinet Championship",2022,1,-0.626,12,-0.561,8,1.087,3,-0.444,3,1.101,3,0.557,29
17509,39953,R2022464,"Fortinet Championship",2022,1,-0.470,17,-0.710,3,0.087,3,-1.592,4,-0.798,6,-3.484,33
13997,40115,R2022464,"Fortinet Championship",2022,1,-0.502,16,0.430,1,1.087,3,-0.740,5,0.169,5,0.444,30
27996,58605,R2022464,"Fortinet Championship",2022,1,0.436,14,,,1.174,6,-0.296,2,0.135,4,1.449,26
13831,33122,R2022464,"Fortinet Championship",2022,1,-0.564,14,0.579,6,-0.913,3,0.260,5,0.067,2,-0.570,30
7626,24140,R2022464,"Fortinet Championship",2022,1,0.436,14,0.430,1,-0.218,4,1.704,2,0.202,6,2.555,27
16715,37275,R2022464,"Fortinet Championship",2022,1,0.467,15,-1.280,4,-0.609,2,0.111,6,0.101,3,-1.209,30
