date,round,course,golfer,fairways,gir,putts
,1,ACCORDIA GOLF Narashino Country Club,Aaron Baddeley,7,11,27
,2,ACCORDIA GOLF Narashino Country Club,Aaron Baddeley,5,9,29
,3,ACCORDIA GOLF Narashino Country Club,Aaron Baddeley,4,9,27
,4,ACCORDIA GOLF Narashino Country Club,Aaron Baddeley,9,15,31
,1,ACCORDIA GOLF Narashino Country Club,Aaron Rai,13,11,28
,1,ACCORDIA GOLF Narashino Country Club,Aaron Rai,7,11,32
,2,ACCORDIA GOLF Narashino Country Club,Aaron Rai,9,13,29
,2,ACCORDIA GOLF Narashino Country Club,Aaron Rai,9,10,28
,3,ACCORDIA GOLF Narashino Country Club,Aaron Rai,9,9,27
,3,ACCORDIA GOLF Narashino Country Club,Aaron Rai,8,13,32
,4,ACCORDIA GOLF Narashino Country Club,Aaron Rai,9,13,31
,4,ACCORDIA GOLF Narashino Country Club,Aaron Rai,5,13,28
,1,ACCORDIA GOLF Narashino Country Club,Adam Long,5,13,29
,2,ACCORDIA GOLF Narashino Country Club,Adam Long,7,13,28
,3,ACCORDIA GOLF Narashino Country Club,Adam Long,8,11,28
,4,ACCORDIA GOLF Narashino Country Club,Adam Long,6,11,32
,1,ACCORDIA GOLF Narashino Country Club,Adam Schenk,7,14,27
,1,ACCORDIA GOLF Narashino Country Club,Adam Schenk,5,12,34
,2,ACCORDIA GOLF Narashino Country Club,Adam Schenk,5,9,30
,2,ACCORDIA GOLF Narashino Country Club,Adam Schenk,5,7,28
,3,ACCORDIA GOLF Narashino Country Club,Adam Schenk,7,10,27
,3,ACCORDIA GOLF Narashino Country Club,Adam Schenk,10,13,29
,4,ACCORDIA GOLF Narashino Country Club,Adam Schenk,5,7,25
,4,ACCORDIA GOLF Narashino Country Club,Adam Schenk,5,11,29
,1,ACCORDIA GOLF Narashino Country Club,Adam Scott,7,12,30
,2,ACCORDIA GOLF Narashino Country Club,Adam Scott,5,12,31
,3,ACCORDIA GOLF Narashino Country Club,Adam Scott,2,10,28
,4,ACCORDIA GOLF Narashino Country Club,Adam Scott,5,11,27
,1,ACCORDIA GOLF Narashino Country Club,Adam Svensson,9,10,31
,1,ACCORDIA GOLF Narashino Country Club,Adam Svensson,9,10,30
,2,ACCORDIA GOLF Narashino Country Club,Adam Svensson,8,14,31
,2,ACCORDIA GOLF Narashino Country Club,Adam Svensson,5,5,25
,3,ACCORDIA GOLF Narashino Country Club,Adam Svensson,8,13,29
,3,ACCORDIA GOLF Narashino Country Club,Adam Svensson,5,11,29
,4,ACCORDIA GOLF Narashino Country Club,Adam Svensson,6,12,30
,4,ACCORDIA GOLF Narashino Country Club,Adam Svensson,8,12,27
,1,ACCORDIA GOLF Narashino Country Club,Akshay Bhatia,7,13,32
,2,ACCORDIA GOLF Narashino Country Club,Akshay Bhatia,7,11,28
,3,ACCORDIA GOLF Narashino Country Club,Akshay Bhatia,6,13,31
,4,ACCORDIA GOLF Narashino Country Club,Akshay Bhatia,7,13,30
,1,ACCORDIA GOLF Narashino Country Club,Alex Noren,10,15,36
,2,ACCORDIA GOLF Narashino Country Club,Alex Noren,3,10,30
,3,ACCORDIA GOLF Narashino Country Club,Alex Noren,5,11,29
,4,ACCORDIA GOLF Narashino Country Club,Alex Noren,6,13,27
,1,ACCORDIA GOLF Narashino Country Club,Alex Smalley,9,15,31
,2,ACCORDIA GOLF Narashino Country Club,Alex Smalley,4,11,27
,3,ACCORDIA GOLF Narashino Country Club,Alex Smalley,9,15,31
,4,ACCORDIA GOLF Narashino Country Club,Alex Smalley,7,10,29
,1,ACCORDIA GOLF Narashino Country Club,Andrew Novak,5,14,29
,2,ACCORDIA GOLF Narashino Country Club,Andrew Novak,6,8,30
,3,ACCORDIA GOLF Narashino Country Club,Andrew Novak,8,9,28
,4,ACCORDIA GOLF Narashino Country Club,Andrew Novak,10,10,30
,1,ACCORDIA GOLF Narashino Country Club,Andrew Putnam,7,13,29
,2,ACCORDIA GOLF Narashino Country Club,Andrew Putnam,8,13,25
,3,ACCORDIA GOLF Narashino Country Club,Andrew Putnam,8,12,27
,4,ACCORDIA GOLF Narashino Country Club,Andrew Putnam,7,14,30
,1,ACCORDIA GOLF Narashino Country Club,Austin Eckroat,7,9,29
,2,ACCORDIA GOLF Narashino Country Club,Austin Eckroat,6,8,29
,3,ACCORDIA GOLF Narashino Country Club,Austin Eckroat,5,10,29
,4,ACCORDIA GOLF Narashino Country Club,Austin Eckroat,6,14,32
