tour,year,season,event_completed,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,course_par,start_hole,teetime,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw,great_shots,poor_shots,eagles_or_better,birdies,pars,bogies,doubles_or_worse,putts
pga,2026,2026,3/1/2026,Cognizant Classic in The Palm Beaches,10,"Hoffman, Charley",5768,CUT,1,PGA National  - Champion Course,928,71,10,12:47:00,73,-0.287,-0.594,-1.257,0.438,-1.413,-1.699,288.2,0.571,0.667,0.667,50.376,40.191,2,4,0,2,13,2,1,NA
pga,2026,2026,3/1/2026,Cognizant Classic in The Palm Beaches,10,"Hoffman, Charley",5768,CUT,2,PGA National  - Champion Course,928,71,1,07:57:00,73,-2.429,-2.039,1.992,0.657,0.61,-1.82,287.5,0.429,0.722,0.429,46.534,20.637,3,4,0,2,12,4,0,NA
pga,2026,2026,3/1/2026,Cognizant Classic in The Palm Beaches,10,"Kuchar, Matt",6169,CUT,1,PGA National  - Champion Course,928,71,10,12:23:00,72,1.247,-0.068,-0.675,-1.204,-1.947,-0.699,273.5,0.571,0.611,0.625,41.643,30.022,5,3,0,4,10,3,1,NA
pga,2026,2026,3/1/2026,Cognizant Classic in The Palm Beaches,10,"Kuchar, Matt",6169,CUT,2,PGA National  - Champion Course,928,71,1,07:33:00,72,-1.065,-0.846,1.566,-0.474,0.246,-0.82,271.3,0.786,0.667,0.8,20.239,26.759,3,4,0,4,10,3,1,NA
pga,2026,2026,3/1/2026,Cognizant Classic in The Palm Beaches,10,"Streelman, Kevin",8480,T32,1,PGA National  - Champion Course,928,71,1,07:21:00,69,0.738,1.616,-0.398,0.344,1.562,2.301,277.1,0.571,0.611,0.75,57.126,30.042,3,2,0,4,12,2,0,NA
pga,2026,2026,3/1/2026,Cognizant Classic in The Palm Beaches,10,"Streelman, Kevin",8480,T32,2,PGA National  - Champion Course,928,71,10,12:11:00,70,1.462,-0.003,-0.285,0.007,-0.281,1.18,275.3,0.643,0.556,0.625,68.642,24.396,4,4,0,5,9,4,0,NA
pga,2026,2026,3/1/2026,Cognizant Classic in The Palm Beaches,10,"Streelman, Kevin",8480,T32,3,PGA National  - Champion Course,928,71,1,08:16:00,69,-0.597,-0.178,1.382,-0.772,0.432,-0.164,280,0.714,0.611,0.75,22.924,25.459,3,4,0,4,12,2,0,NA
pga,2026,2026,3/1/2026,Cognizant Classic in The Palm Beaches,10,"Streelman, Kevin",8480,T32,4,PGA National  - Champion Course,928,71,1,11:30:00,70,0.355,1.561,-1.959,-0.241,-0.639,-0.284,274.8,0.571,0.5,0.769,54.079,50.026,1,4,0,4,11,3,0,NA
pga,2026,2026,3/1/2026,Cognizant Classic in The Palm Beaches,10,"Snedeker, Brandt",8820,CUT,1,PGA National  - Champion Course,928,71,1,11:47:00,72,0.498,0.067,-0.351,-0.914,-1.198,-0.699,266.7,0.643,0.667,0.571,45.165,35.03,2,4,0,3,11,4,0,NA
pga,2026,2026,3/1/2026,Cognizant Classic in The Palm Beaches,10,"Snedeker, Brandt",8820,CUT,2,PGA National  - Champion Course,928,71,10,06:57:00,74,-1.16,1.136,-3.449,0.654,-1.659,-2.82,272.2,0.714,0.611,0.571,49.186,26.942,3,5,0,3,11,2,2,NA
pga,2026,2026,3/1/2026,Cognizant Classic in The Palm Beaches,10,"Hicks, Justin",9166,CUT,1,PGA National  - Champion Course,928,71,10,13:35:00,74,0.247,-1.334,-1.15,-0.463,-2.947,-2.699,268.5,0.571,0.722,0.5,39.77,40.285,1,3,0,1,13,4,0,NA
pga,2026,2026,3/1/2026,Cognizant Classic in The Palm Beaches,10,"Hicks, Justin",9166,CUT,2,PGA National  - Champion Course,928,71,1,08:45:00,74,0.661,-2.253,-0.99,-0.237,-3.48,-2.82,273.3,0.857,0.611,0.556,50.785,31.077,3,6,0,3,11,2,2,NA
pga,2026,2026,3/1/2026,Cognizant Classic in The Palm Beaches,10,"Villegas, Camilo",9171,CUT,1,PGA National  - Champion Course,928,71,10,06:57:00,70,1.052,1.597,1.003,-2.352,0.248,1.301,283.6,0.357,0.611,0.857,51.448,28.985,4,2,0,2,15,1,0,NA
pga,2026,2026,3/1/2026,Cognizant Classic in The Palm Beaches,10,"Villegas, Camilo",9171,CUT,2,PGA National  - Champion Course,928,71,1,11:47:00,75,-1.601,-0.861,-1.368,0.011,-2.218,-3.82,278.7,0.643,0.556,0.4,60.715,37.387,0,4,0,1,12,5,0,NA
pga,2026,2026,3/1/2026,Cognizant Classic in The Palm Beaches,10,"Power, Seamus",10104,T52,1,PGA National  - Champion Course,928,71,10,12:47:00,71,-0.824,1.03,-0.008,0.102,1.124,0.301,281.3,0.5,0.722,0.833,67.413,32.074,0,3,0,2,14,2,0,NA
pga,2026,2026,3/1/2026,Cognizant Classic in The Palm Beaches,10,"Power, Seamus",10104,T52,2,PGA National  - Champion Course,928,71,1,07:57:00,67,4.155,1.497,-0.995,-0.476,0.026,4.18,275.5,0.357,0.667,1,45.488,34.68,5,2,0,5,12,1,0,NA
pga,2026,2026,3/1/2026,Cognizant Classic in The Palm Beaches,10,"Power, Seamus",10104,T52,3,PGA National  - Champion Course,928,71,1,08:40:00,73,-1.309,-0.191,-1.374,-1.291,-2.856,-4.164,280.6,0.5,0.556,0.556,46.363,35.31,2,5,0,3,10,5,0,NA
