SPORT_EVENT,COMPETITION,EVENT_START_TIME_UTC,MARKET_NAME,MARKET_TYPE,SELECTION,INSTRUMENT_ID,PRICE_CHAN_ID,AMERICAN_ODDS_AT_PERIOD,OPENING_AMERICAN_ODDS,OPENING_IMPLIED_PROB,CLOSING_AMERICAN_ODDS,CLOSING_IMPLIED_PROB,TOTAL_PROB_MOVEMENT_PCT
A. Baddeley/T. Finau - Round 4,3M Open 2023,2023-07-30T17:25:00Z,2 Ball Matchup,GOLF:FT:2BL:AXB,T. Finau,999319383866867731,6,-210,-210,0.630892,-171,0.630892,0
G. Woodland/J. Thomas/J. Dahmen - Round 1,3M Open 2023,2023-07-27T17:54:00Z,G. Woodland Total Birdies,GOLF:FT:CTBIR,Over 4.0,6098341013763129365,10,-120,-120,0.513759,-106,0.513759,0
G. Woodland/J. Thomas/J. Dahmen - Round 1,3M Open 2023,2023-07-27T17:54:00Z,J. Dahmen Total Birdies,GOLF:FT:CTBIR,Over 3.5,8020252154743488533,10,-135,-135,0.54806,-121,0.54806,0
G. Woodland/J. Thomas/J. Dahmen - Round 1,3M Open 2023,2023-07-27T17:54:00Z,J. Thomas Total Birdies,GOLF:FT:CTBIR,Over 4.0,5033802651843428373,10,-125,-125,0.527117,-111,0.527117,0
G. Woodland/J. Thomas/J. Dahmen - Round 2,3M Open 2023,2023-07-28T12:29:00Z,G. Woodland Total Birdies,GOLF:FT:CTBIR,Under 5.0,6790179808330121217,10,105,105,0.459525,118,0.459525,0
G. Woodland/J. Thomas/J. Dahmen - Round 2,3M Open 2023,2023-07-28T12:29:00Z,J. Dahmen Total Birdies,GOLF:FT:CTBIR,Under 4.5,4142063227436269577,10,115,115,0.438879,128,0.438879,0
G. Woodland/J. Thomas/J. Dahmen - Round 2,3M Open 2023,2023-07-28T12:29:00Z,J. Thomas Total Birdies,GOLF:FT:CTBIR,Under 5.5,7402669357652508691,10,-135,-135,0.535763,-115,0.535763,0
J.T. Poston/L. Hodges - Round 4,3M Open 2023,2023-07-30T17:35:00Z,L. Hodges Total Birdies,GOLF:FT:CTBIR,Over 5.0,6513414177628618753,6,-110,-110,0.494388,102,0.494388,0
J.T. Poston/L. Hodges - Round 4,3M Open 2023,2023-07-30T17:35:00Z,L. Hodges Total Birdies,GOLF:FT:CTBIR,Under 5.0,2093131143364476929,6,-120,-120,0.505612,-102,0.505612,0
K.H. Lee/S. Theegala/C. Young - Round 1,3M Open 2023,2023-07-27T17:43:00Z,C. Young Total Birdies,GOLF:FT:CTBIR,Over 4.0,4057858538843406356,10,-145,-145,0.563567,-129,0.563567,0
