"pga_player_id","pga_display_name","pga_first_name","pga_last_name","pga_country","dg_id","dg_player_name","dg_country","n_rounds_hist","match_method","confidence"
"23778","Brad Adamonis","Brad","Adamonis","United States",7612,"Adamonis, Brad",NA,4,"last_first_exact",1
"67601","Patrick Adler","Patrick","Adler","United States",35576,"Adler, Patrick",NA,2,"last_first_exact",1
"24461","Thomas Aiken","Thomas","Aiken","South Africa",7679,"Aiken, Thomas",NA,12,"last_first_exact",1
"67118","Kihei Akina","Kihei","Akina","United States",32652,"Akina, Kihei",NA,12,"last_first_exact",1
"49303","Anders Albertson","Anders","Albertson","United States",21235,"Albertson, Anders",NA,79,"last_first_exact",1
"33408","Tyson Alexander","Tyson","Alexander","United States",14002,"Alexander, Tyson",NA,183,"last_first_exact",1
"20771","Steven Alker","Steven","Alker","New Zealand",4871,"Alker, Steven",NA,2,"last_first_exact",1
"33948","Byeong Hun An","Byeong Hun","An","Republic of Korea",14459,"An, Byeong Hun",NA,324,"last_first_exact",1
"45526","Abraham Ancer","Abraham","Ancer","Mexico",18238,"Ancer, Abraham",NA,252,"last_first_exact",1
"52370","Mason Andersen","Mason","Andersen","United States",23540,"Andersen, Mason",NA,74,"last_first_exact",1
"57321","Matthew Anderson","Matthew","Anderson","Canada",26617,"Anderson, Matthew",NA,14,"last_first_exact",1
"01024","Billy Andrade","Billy","Andrade","United States",708,"Andrade, Billy",NA,2,"last_first_exact",1
"30978","Kiradech Aphibarnrat","Kiradech","Aphibarnrat","Thailand",12321,"Aphibarnrat, Kiradech",NA,63,"last_first_exact",1
"45194","Marcus Armitage","Marcus","Armitage","England",17813,"Armitage, Marcus",NA,30,"last_first_exact",1
"19803","Ryan Armour","Ryan","Armour","United States",8469,"Armour, Ryan",NA,148,"last_first_exact",1
"52096","Adri Arnaus","Adri","Arnaus","Spain",23236,"Arnaus, Adri",NA,29,"last_first_exact",1
"47125","Matt Atkins","Matt","Atkins","United States",19360,"Atkins, Matt",NA,20,"last_first_exact",1
"21407","Arjun Atwal","Arjun","Atwal","India",5701,"Atwal, Arjun",NA,35,"last_first_exact",1
"65871","Thomas Avant","Thomas","Avant","United States",31585,"Avant, Thomas",NA,2,"last_first_exact",1
"23048","Eric Axley","Eric","Axley","United States",8024,"Axley, Eric",NA,6,"last_first_exact",1
"64052","Angel Ayora","Angel","Ayora","Spain",30445,"Ayora, Angel",NA,20,"last_first_exact",1
"22371","Aaron Baddeley","Aaron","Baddeley","Australia",6252,"Baddeley, Aaron",NA,244,"last_first_exact",1
"28259","Sangmoon Bae","Sangmoon","Bae","Republic of Korea",10081,"Bae, Sangmoon",NA,58,"last_first_exact",1
"56003","Yongjun Bae","Yongjun","Bae","Republic of Korea",25628,"Bae, Yongjun",NA,12,"last_first_exact",1
"60369","Sam Bairstow","Sam","Bairstow","England",28615,"Bairstow, Sam",NA,28,"last_first_exact",1
"33404","Chris Baker","Chris","Baker","United States",13971,"Baker, Chris",NA,10,"last_first_exact",1
