"pga_tournament_id","pga_tournament_name","year","pga_course_name","dg_event_id","dg_event_name","dg_course_name","match_method"
"R2021464","Safeway Open",2021,"Silverado Resort (North Course)",NA,NA,NA,"unmatched"
"R2021026","U.S. Open (2020)",2021,"Winged Foot Golf Club",535,"U.S. Open #2","Torrey Pines (South)","partial_name_year"
"R2021522","Corales Puntacana Resort & Club Championship (2020)",2021,"Puntacana Resort & Club (Corales Golf Course)",534,"Corales Puntacana Resort & Club Championship #2","Corales Golf Club","partial_name_year"
"R2021054","Sanderson Farms Championship",2021,"The Country Club of Jackson",54,"Sanderson Farms Championship","Country Club of Jackson","exact_name_year"
"R2021047","Shriners Hospitals for Children Open",2021,"TPC Summerlin",NA,NA,NA,"unmatched"
"R2021521","THE CJ CUP @ SHADOW CREEK",2021,"Shadow Creek Golf Course",NA,NA,NA,"unmatched"
"R2021527","ZOZO CHAMPIONSHIP @ SHERWOOD",2021,"Sherwood Country Club",527,"ZOZO CHAMPIONSHIP","Accordia Golf Narashino CC","partial_name_year"
"R2021528","Bermuda Championship",2021,"Port Royal Golf Course",528,"Butterfield Bermuda Championship","Port Royal Golf Course","partial_name_year"
"R2021020","Vivint Houston Open",2021,"Memorial Park Golf Course",NA,NA,NA,"unmatched"
"R2021014","Masters Tournament (2020)",2021,"Augusta National Golf Club",NA,NA,NA,"unmatched"
"R2021493","The RSM Classic",2021,"Sea Island Golf Club (Seaside Course)",493,"The RSM Classic","Sea Island GC (Plantation)","exact_name_year"
"R2021457","Mayakoba Golf Classic presented by UNIFIN",2021,"El Camaleón Golf Course at Mayakoba",NA,NA,NA,"unmatched"
"R2021058","QBE Shootout",2021,"Tiburón Golf Course",NA,NA,NA,"unmatched"
"R2021016","Sentry Tournament of Champions",2021,"Plantation Course at Kapalua",16,"Sentry Tournament of Champions","Plantation Course at Kapalua","exact_name_year"
"R2021006","Sony Open in Hawaii",2021,"Waialae Country Club",6,"Sony Open in Hawaii","Waialae Country Club","exact_name_year"
"R2021002","The American Express",2021,"Pete Dye Stadium Course",2,"The American Express","Stadium Course","exact_name_year"
"R2021004","Farmers Insurance Open",2021,"Torrey Pines Golf Course (South Course)",4,"Farmers Insurance Open","Torrey Pines GC (North)","exact_name_year"
"R2021003","Waste Management Phoenix Open",2021,"TPC Scottsdale (Stadium Course)",3,"Waste Management Phoenix Open","TPC Scottsdale","exact_name_year"
"R2021005","AT&T Pebble Beach Pro-Am",2021,"Pebble Beach Golf Links",5,"AT&T Pebble Beach Pro-Am","Spyglass Hill Golf Course","exact_name_year"
"R2021007","The Genesis Invitational",2021,"The Riviera Country Club",7,"The Genesis Invitational","The Riviera Country Club","exact_name_year"
"R2021473","World Golf Championships-Workday Championship at The Concession",2021,"The Concession Golf Club",473,"World Golf Championships-Workday Championship at The Concession","The Concession Golf Club","exact_name_year"
"R2021483","Puerto Rico Open",2021,"Grand Reserve Golf Club",483,"Puerto Rico Open","Grand Reserve Country Club","exact_name_year"
"R2021009","Arnold Palmer Invitational presented by Mastercard",2021,"Arnold Palmer's Bay Hill Club & Lodge",9,"Arnold Palmer Invitational presented by Mastercard","Bay Hill Club & Lodge","exact_name_year"
"R2021011","THE PLAYERS Championship",2021,"TPC Sawgrass (THE PLAYERS Stadium Course)",11,"THE PLAYERS Championship","TPC Sawgrass","exact_name_year"
"R2021010","The Honda Classic",2021,"PGA National Resort (The Champion)",10,"The Honda Classic","PGA National (Champion)","exact_name_year"
"R2021470","World Golf Championships-Dell Technologies Match Play",2021,"Austin Country Club",NA,NA,NA,"unmatched"
