"tournament_id","course_name","tournament_name","year"
"R2021464","Silverado Resort (North Course)","Safeway Open",2021
"R2021026","Winged Foot Golf Club","U.S. Open (2020)",2021
"R2021522","Puntacana Resort & Club (Corales Golf Course)","Corales Puntacana Resort & Club Championship (2020)",2021
"R2021054","The Country Club of Jackson","Sanderson Farms Championship",2021
"R2021047","TPC Summerlin","Shriners Hospitals for Children Open",2021
"R2021521","Shadow Creek Golf Course","THE CJ CUP @ SHADOW CREEK",2021
"R2021527","Sherwood Country Club","ZOZO CHAMPIONSHIP @ SHERWOOD",2021
"R2021528","Port Royal Golf Course","Bermuda Championship",2021
"R2021020","Memorial Park Golf Course","Vivint Houston Open",2021
"R2021014","Augusta National Golf Club","Masters Tournament (2020)",2021
"R2021493","Sea Island Golf Club (Seaside Course)","The RSM Classic",2021
"R2021457","El Camaleón Golf Course at Mayakoba","Mayakoba Golf Classic presented by UNIFIN",2021
"R2021058","Tiburón Golf Course","QBE Shootout",2021
"R2021016","Plantation Course at Kapalua","Sentry Tournament of Champions",2021
"R2021006","Waialae Country Club","Sony Open in Hawaii",2021
"R2021002","Pete Dye Stadium Course","The American Express",2021
"R2021004","Torrey Pines Golf Course (South Course)","Farmers Insurance Open",2021
"R2021003","TPC Scottsdale (Stadium Course)","Waste Management Phoenix Open",2021
"R2021005","Pebble Beach Golf Links","AT&T Pebble Beach Pro-Am",2021
"R2021007","The Riviera Country Club","The Genesis Invitational",2021
"R2021473","The Concession Golf Club","World Golf Championships-Workday Championship at The Concession",2021
"R2021483","Grand Reserve Golf Club","Puerto Rico Open",2021
"R2021009","Arnold Palmer's Bay Hill Club & Lodge","Arnold Palmer Invitational presented by Mastercard",2021
"R2021011","TPC Sawgrass (THE PLAYERS Stadium Course)","THE PLAYERS Championship",2021
"R2021010","PGA National Resort (The Champion)","The Honda Classic",2021
"R2021470","Austin Country Club","World Golf Championships-Dell Technologies Match Play",2021
"R2021534","Puntacana Resort & Club (Corales Golf Course)","Corales Puntacana Resort & Club Championship (2021)",2021
"R2021041","TPC San Antonio (Oaks Course)","Valero Texas Open",2021
"R2021536","Augusta National Golf Club","Masters Tournament (2021)",2021
"R2021012","Harbour Town Golf Links","RBC Heritage",2021
"R2021018","TPC Louisiana","Zurich Classic of New Orleans",2021
"R2021475","Innisbrook Resort (Copperhead Course)","Valspar Championship",2021
"R2021480","Quail Hollow Club","Wells Fargo Championship",2021
"R2021019","TPC Craig Ranch","AT&T Byron Nelson",2021
"R2021033","Ocean Course at Kiawah Island","PGA Championship",2021
"R2021021","Colonial Country Club","Charles Schwab Challenge",2021
"R2021023","Muirfield Village Golf Club","the Memorial Tournament presented by Nationwide",2021
"R2021538","Congaree Golf Club","Palmetto Championship at Congaree",2021
"R2021535","Torrey Pines (South)","U.S. Open (2021)",2021
"R2021034","TPC River Highlands","Travelers Championship",2021
"R2021524","Detroit Golf Club","Rocket Mortgage Classic",2021
"R2021030","TPC Deere Run","John Deere Classic",2021
"R2021100","Royal St. George's GC","The Open Championship",2021
"R2021518","Keene Trace Golf Club (Champion Trace)","Barbasol Championship",2021
"R2021525","TPC Twin Cities","3M Open",2021
"R2021519","Kasumigaseki Country Club","Olympic Men's Golf Competition",2021
"R2021476","TPC Southwind","World Golf Championships-FedEx St. Jude Invitational",2021
"R2021472","Tahoe Mountain Club (Old Greenwood)","Barracuda Championship",2021
"R2021013","Sedgefield Country Club","Wyndham Championship",2021
"R2021027","Liberty National Golf Club","THE NORTHERN TRUST",2021
"R2021028","Caves Valley Golf Club","BMW Championship",2021
"R2021060","East Lake Golf Club","TOUR Championship",2021
"R2022464","Silverado Resort (North Course)","Fortinet Championship",2022
"R2022468","Whistling Straits","Ryder Cup",2022
"R2022054","The Country Club of Jackson","Sanderson Farms Championship",2022
"R2022047","TPC Summerlin","Shriners Children's Open",2022
"R2022521","The Summit Club","THE CJ CUP @ SUMMIT",2022
"R2022527","ACCORDIA GOLF Narashino Country Club","ZOZO CHAMPIONSHIP",2022
"R2022528","Port Royal Golf Course","Butterfield Bermuda Championship",2022
"R2022457","El Camaleón Golf Course at Mayakoba","World Wide Technology Championship at Mayakoba",2022
"R2022020","Memorial Park Golf Course","Hewlett Packard Enterprise Houston Open",2022
"R2022493","Sea Island Golf Club (Seaside Course)","The RSM Classic",2022
"R2022478","Albany GC","Hero World Challenge",2022
"R2022058","Tiburón Golf Course","QBE Shootout",2022
"R2022016","Plantation Course at Kapalua","Sentry Tournament of Champions",2022
"R2022006","Waialae Country Club","Sony Open in Hawaii",2022
"R2022002","Pete Dye Stadium Course","The American Express",2022
"R2022004","Torrey Pines Golf Course (South Course)","Farmers Insurance Open",2022
"R2022005","Pebble Beach Golf Links","AT&T Pebble Beach Pro-Am",2022
"R2022003","TPC Scottsdale (Stadium Course)","WM Phoenix Open",2022
"R2022007","The Riviera Country Club","The Genesis Invitational",2022
"R2022010","PGA National Resort (The Champion)","The Honda Classic",2022
"R2022009","Arnold Palmer's Bay Hill Club & Lodge","Arnold Palmer Invitational presented by Mastercard",2022
"R2022483","Grand Reserve Golf Club","Puerto Rico Open",2022
"R2022011","TPC Sawgrass (THE PLAYERS Stadium Course)","THE PLAYERS Championship",2022
"R2022475","Innisbrook Resort (Copperhead Course)","Valspar Championship",2022
"R2022470","Austin Country Club","World Golf Championships-Dell Technologies Match Play",2022
"R2022522","Puntacana Resort & Club (Corales Golf Course)","Corales Puntacana Championship",2022
"R2022041","TPC San Antonio (Oaks Course)","Valero Texas Open",2022
"R2022014","Augusta National Golf Club","Masters Tournament",2022
"R2022012","Harbour Town Golf Links","RBC Heritage",2022
"R2022018","TPC Louisiana","Zurich Classic of New Orleans",2022
"R2022540","Vidanta Vallarta","Mexico Open at Vidanta",2022
"R2022480","TPC Potomac at Avenel Farm","Wells Fargo Championship",2022
"R2022019","TPC Craig Ranch","AT&T Byron Nelson",2022
"R2022033","Southern Hills CC","PGA Championship",2022
"R2022021","Colonial Country Club","Charles Schwab Challenge",2022
"R2022023","Muirfield Village Golf Club","the Memorial Tournament presented by Workday",2022
